Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Price, Sell Price, Sell Target1 Price, BuyTarget1 Price, Sell StopLoss Price, Buy StopLoss Price, Buy Entry, Sell Entry, ATR, Rotation Buy, Rotation Sell, BuyTarget2 Price, BuyTarget3 Price, Sell Target2 Price, Sell Target3 Price, Poly Regression Buy, Poly Regression Sell, Auto Trader Buy Subgraph, Auto Trader Sell Subgraph, BuyTarget4 Price, BuyTarget5 Price, BuyTarget6 Price, Sell Target4 Price, Sell Target5 Price, Sell Target6 Price, Target 1 Price, Target 2 Price, Target 3 Price, Target 4 Price, Target 5 Price, Target 6 Price, Trades +2 STD, Trades -2 STD, Trades +1 STD, Trades -1 STD, UpDownRatio +2 STD, UpDownRatio -2 STD, UpDownRatio +1 STD, UpDownRatio -1 STD, DeltaRatio +1 STD, DeltaRatio +2 STD, DeltaRatio -1 STD, DeltaRatio -2 STD, Ask Bid Trade Ratio +1 STD, Ask Bid Trade Ratio +2 STD, Ask Bid Trade Ratio -1 STD, Ask Bid Trade Ratio -2 STD
2026-6-10, 16:15:00.237000, 28791.00, 28810.25, 28765.75, 28795.75, 1000, 910, 28790.69, 28790.58, 28788.00, 478, 522, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 44.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28809.05, 0.00, 0.00, 0.00, 0.00, 28811.65, 0.00, 0.00, 0.00, 0.00, 0.00, 28812.05, 0.00, 0.00, 0.00, 28812.25
2026-6-10, 16:17:37.878000, 28795.00, 28817.25, 28776.75, 28808.50, 1000, 936, 28799.38, 28800.83, 28797.00, 450, 550, 28810.25, 0.00, 0.00, 0.25, 0.00, 28810.00, 0.00, 0.00, 42.50, 0.00, 0.00, 0.50, 25.00, 0.00, 0.00, 0.00, 0.00, 28776.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28775.55, 0.00, 0.00, 0.00, 0.00, 28818.65, 28774.95, 0.00, 0.00, 0.00, 28774.75, 0.00, 0.00, 0.00
2026-6-10, 16:22:43.891000, 28810.00, 28812.00, 28773.75, 28782.50, 1000, 921, 28794.56, 28789.42, 28792.88, 517, 483, 0.00, 28776.75, 28776.50, 0.00, 28817.50, 0.00, 0.00, 0.00, 41.08, 0.00, 0.00, 0.00, 0.00, 28776.25, 28751.75, 0.00, 0.00, 0.00, 28812.25, 0.00, 0.00, 0.00, 28776.75, 28776.75, 28776.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28813.40, 0.00, 0.00, 28813.80, 0.00, 0.00, 0.00, 28814.00, 0.00
2026-6-10, 16:29:47.978000, 28782.75, 28782.75, 28747.50, 28769.50, 1000, 922, 28770.63, 28766.58, 28765.13, 515, 485, 0.00, 28773.75, 28773.50, 0.00, 28812.25, 0.00, 0.00, 0.00, 39.63, 0.00, 0.00, 0.00, 0.00, 28773.25, 28748.75, 0.00, 0.00, 0.00, 28783.00, 0.00, 0.00, 0.00, 28773.75, 28773.75, 28773.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-6-10, 16:36:46.167002, 28769.50, 28792.00, 28747.50, 28757.25, 1000, 852, 28766.56, 28765.58, 28769.75, 482, 518, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 40.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28793.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-6-10, 16:44:33.305000, 28758.25, 28759.25, 28707.25, 28734.50, 1000, 890, 28739.81, 28733.67, 28733.25, 532, 468, 0.00, 28747.50, 28747.25, 0.00, 28792.25, 0.00, 0.00, 0.00, 42.50, 0.00, 0.00, 0.00, 0.00, 28747.00, 28722.50, 0.00, 0.00, 0.00, 28759.50, 0.00, 0.00, 0.00, 28747.50, 28747.50, 28747.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28761.05, 0.00, 0.00, 0.00, 28761.25, 0.00
2026-6-10, 16:48:57.302003, 28734.50, 28739.00, 28701.75, 28726.25, 1000, 789, 28725.38, 28722.33, 28720.38, 504, 496, 0.00, 28707.25, 28707.00, 0.00, 28759.50, 0.00, 0.00, 0.00, 41.75, 0.00, 0.00, 0.00, 0.00, 28706.75, 28682.25, 0.00, 0.00, 0.00, 28739.25, 0.00, 0.00, 0.00, 28707.25, 28707.25, 28707.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28740.20, 0.00, 0.00, 0.00, 0.00, 0.00, 28740.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2026-6-10, 16:54:15.452000, 28727.00, 28779.25, 28726.25, 28755.75, 1000, 850, 28747.06, 28753.75, 28752.75, 495, 505, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 43.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28724.85, 0.00, 0.00, 0.00, 0.00, 0.00, 28724.25, 0.00, 0.00, 0.00
2026-6-10, 16:58:45.687000, 28756.00, 28767.50, 28696.75, 28722.25, 1000, 844, 28735.63, 28728.83, 28732.13, 576, 424, 0.00, 28726.25, 28726.00, 0.00, 28779.50, 0.00, 0.00, 0.00, 46.22, 0.00, 0.00, 0.00, 0.00, 28725.75, 28701.25, 0.00, 0.00, 0.00, 28767.75, 0.00, 0.00, 0.00, 28726.25, 28726.25, 28726.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28768.90, 0.00, 0.00, 0.00, 28769.30, 0.00, 0.00, 0.00, 28769.50
2026-6-10, 18:00:57.103000, 28724.75, 28736.00, 28668.75, 28683.25, 1000, 946, 28703.19, 28696.00, 28702.38, 530, 470, 0.00, 28696.75, 28696.50, 0.00, 28767.75, 0.00, 0.00, 0.00, 48.33, 0.00, 0.00, 0.00, 0.00, 28696.25, 28671.75, 0.00, 0.00, 0.00, 28736.25, 0.00, 0.00, 0.00, 28696.75, 28696.75, 28696.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28669.95, 0.00, 0.00, 0.00, 28737.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
