Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Account	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Open Position Quantity	Close Position Quantity	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
CLF26 (IPS_TM_5dupli)	Short	2025-12-03  01:00:26.000 BP	2025-12-03  01:18:05.000	58.63	58.76	1	4	1	-134.20	-134.20	00:17:39	4.20	58.76	58.63	-3.2%	IPS_TM_5dupli	20.0%	-134.20	0.00	-130.00	0.00	-130.00	AutoTrader_	-103.2%	1	3	0.00	-134.20	0.00	-134.20
CLF26	Short	2025-12-03  01:00:26.000	2025-12-03  01:18:05.000	58.63	58.76	2	4	3	-268.40	-402.60	00:17:39	8.40	58.76	58.63	31.2%	IPS_TM_5dupli	20.0%	-402.60	0.00	-390.00	0.00	-260.00	AutoTrader_	-68.8%	4	1	0.00	-402.60	0.00	-402.60
CLF26	Short	2025-12-03  01:00:26.000	2025-12-03  02:34:57.000	58.63	58.94	1	4	4	-314.20	-716.80	01:34:31	4.20	58.94	58.63	55.1%	IPS_TM_5dupli	20.0%	-716.80	0.01	-700.00	0.00	-310.00	AutoTrader_	-44.9%	4	3	0.00	-716.80	0.00	-716.80
CLF26	Short	2025-12-03  02:31:32.000	2025-12-03  02:34:57.000	58.89	58.94	2	4	3	-108.40	-825.20	00:03:25	8.40	58.94	58.86	80.4%	IPS_TM_5dupli	100.0%	-825.20	60.01	-800.00	60.00	-100.00	AutoTrader_	-12.6%	4	1	0.00	-825.20	0.00	-825.20
CLF26	Short	2025-12-03  02:31:32.000	2025-12-03  04:06:30.000	58.89	59.13	1	4	4	-244.20	-1069.40	01:34:58	4.20	59.13	58.86	70.4%	IPS_TM_5dupli	100.0%	-1069.40	90.01	-1040.00	30.00	-240.00	AutoTrader_	-21.6%	4	3	0.00	-1069.40	0.00	-1069.40
CLF26	Short	2025-12-03  03:45:09.000	2025-12-03  04:06:30.000	59.05	59.13	2	4	3	-168.40	-1237.80	00:21:21	8.40	59.13	59.03	81.2%	IPS_TM_5dupli	100.0%	-1237.80	70.00	-1200.00	40.00	-160.00	AutoTrader_	-13.3%	4	1	0.00	-1237.80	0.00	-1237.80
CLF26	Short	2025-12-03  03:45:09.000	2025-12-03  04:33:03.000	59.05	59.39	1	4	4	-344.20	-1582.00	00:47:54	4.20	59.39	59.03	73.4%	IPS_TM_5dupli	100.0%	-1582.00	90.00	-1540.00	20.00	-340.00	AutoTrader_	-21.1%	4	3	0.00	-1582.00	0.00	-1582.00
CLF26	Short	2025-12-03  04:22:00.000	2025-12-03  04:33:03.000	59.31	59.39	2	4	3	-168.40	-1750.40	00:11:03	8.40	59.39	59.30	88.0%	IPS_TM_5dupli	100.0%	-1750.40	40.00	-1700.00	20.00	-160.00	AutoTrader_	-9.7%	4	1	0.00	-1750.40	0.00	-1750.40
CLF26	Short	2025-12-03  04:22:00.000	2025-12-03  04:36:13.000	59.31	59.39	1	4	4	-84.20	-1834.60	00:14:13	4.20	59.39	59.30	92.7%	IPS_TM_5dupli	100.0%	-1834.60	50.00	-1780.00	10.00	-80.00	AutoTrader_	-4.6%	4	3	0.00	-1834.60	0.00	-1834.60
CLF26	Short	2025-12-03  04:35:04.000	2025-12-03  04:36:13.000	59.32	59.39	2	4	3	-148.40	-1983.00	00:01:09	8.40	59.39	59.31	90.9%	IPS_TM_5dupli	91.1%	-1983.00	30.00	-1920.00	20.00	-140.00	AutoTrader_	-7.6%	4	1	0.00	-1983.00	0.00	-1983.00
CLF26	Short	2025-12-03  04:35:04.000	2025-12-03  04:36:13.000 EP	59.32	59.39	1	4	4	-74.20	-2057.20	00:01:09	4.20	59.39	59.31	94.4%	IPS_TM_5dupli	91.1%	-2057.20 F	40.00	-1990.00	10.00	-70.00	AutoTrader_	-3.7%	4	0	0.00	-2057.20	0.00	-2057.20
CLF26	Long	2025-12-03  04:36:13.000 BP	2025-12-03  04:41:28.000 EP	59.39	59.30	2	2	2	-188.40	-2245.60	00:05:15	8.40	59.39	59.30	-4.7%	IPS_TM_5dupli	100.0%	-188.40 F	0.00	-180.00	0.00	-180.00	AutoTrader_	-104.7%	2	0	0.00	-2245.60	0.00	-2245.60
