ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	OrderActionSource	InternalOrderID	Symbol	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2025-12-03  05:04:19.869250	2025-12-03  05:04:19.869247	19826859	Trailing Stop	1	Pending Modify	IPS_TM_5dupli	Sell	58.5200000				AutoTrader_	Auto trail order modification. Trigger price: 58.73. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 58.53. Requested Quantity: 1	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled	shimishon	Y
Orders	2025-12-03  05:04:20.109222	2025-12-03  05:04:20.109214	19826859	Trailing Stop	1	Open	IPS_TM_5dupli	Sell	58.5300000				AutoTrader_	Order update (Cancel/Replace complete). Info: Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled	shimishon	Y
Orders	2025-12-03  05:04:20.176108	2025-12-03  05:04:20.176105	19826859	Trailing Stop	1	Pending Modify	IPS_TM_5dupli	Sell	58.5300000				AutoTrader_	Auto trail order modification. Trigger price: 58.74. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 58.54. Requested Quantity: 1	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled	shimishon	Y
Orders	2025-12-03  05:04:20.388340	2025-12-03  05:04:20.388337	19826859	Trailing Stop	1	Open	IPS_TM_5dupli	Sell	58.5400000				AutoTrader_	Order update (Cancel/Replace complete). Info: Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled	shimishon	Y
Orders	2025-12-03  05:34:46.170174	2025-12-03  05:34:46.170169	19826859	Trailing Stop	1	Pending Modify	IPS_TM_5dupli	Sell	58.5400000				AutoTrader_	Auto trail order modification. Trigger price: 58.75. Using LastModifyQuantity of 1. Using new provided price. Requested Price: 58.55. Requested Quantity: 1	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled	shimishon	Y
Orders	2025-12-03  05:34:46.535856	2025-12-03  05:34:46.535850	19826859	Trailing Stop	1	Open	IPS_TM_5dupli	Sell	58.5500000				AutoTrader_	Order update (Cancel/Replace complete). Info: Trading Evaluator (Cancel/Replace complete). Info: Simulated order modify complete. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled	shimishon	Y
Orders	2025-12-03  06:00:17.126385	2025-12-03  06:00:17.126383	19826726	Limit	1	Open	IPS_TM_5dupli	Sell	66.2699985				AutoTrader_	Initiating: CLF26 [CBV]  500 Volume #5 | Canceling non-market orders during Flatten	19782456	CLF26	Close						0.00	36308620	19782456.36424	Good till Canceled	shimishon	Y
Orders	2025-12-03  06:00:17.126409	2025-12-03  06:00:17.126405	19826726	Limit	1	Pending Cancel	IPS_TM_5dupli	Sell	66.2699985				AutoTrader_	CLF26 [CBV]  500 Volume #5 | Canceling non-market orders during Flatten	19782456	CLF26	Close		1				0.00	36308620	19782456.36424	Good till Canceled		Y
Orders	2025-12-03  06:00:17.126452	2025-12-03  06:00:17.126450	19826859	Trailing Stop	1	Pending Cancel	IPS_TM_5dupli	Sell	58.5500000				AutoTrader_	CLF26 [CBV]  500 Volume #5 | Canceling non-market orders during Flatten	19782589	CLF26	Close		1				0.00	36308768	19782589.53636	Good till Canceled		Y
Orders	2025-12-03  06:00:17.126488	2025-12-03  06:00:17.126479		Market	1	Order Sent	IPS_TM_5dupli	Sell						Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | Source: ACSIL Flatten & Cancel | Bar start date-time: 2025-12-03  00:54:02.718. Flatten&CancelAllOrders | Last: 58.629997. Current Position quantity: 1 | AOE=true | AOU=true	19782856	CLF26	Close		1				0.00			Day		Y
Orders	2025-12-03  06:00:17.126923	2025-12-03  06:00:17.126917		Market	3	Order Sent	IPS_TM_5dupli	Sell					AutoTrader_	Auto-trade: CLF26 [CBV]  500 Volume #5 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2025-12-03  00:54:02.718 | Last: 58.629997 | AOE=false | AOU=false	19782857	CLF26	Open		1				0.00			Good till Canceled		Y
Orders	2025-12-03  06:00:17.144370	2025-12-03  06:00:17.144359	19827126	Market	1	Pending Open	IPS_TM_5dupli	Sell						Order update (New). Info: Order from DTC client #5. Sierra Chart. 127.0.0.1	19782856	CLF26	Close		1				0.00		19782856.95190	Day	shimishon	Y
