ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	OrderActionSource	InternalOrderID	Symbol	OpenClose	ParentInternalOrderID	PositionQuantity	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username	IsAutomated
Orders	2026-01-19  14:30:32.131175	2026-01-19  14:30:32.131164		Market	3	Order Sent	3Q_sim14	Buy					AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | BuyEntry | AutoTrader_ | Bar start date-time: 2026-01-19  09:30:33.016 | Last: 59.25 | AOE=false | AOU=false	20479549	CLG26	Open						0.00			Good till Canceled		Y
Orders	2026-01-19  14:30:32.192622	2026-01-19  14:30:32.192620	20523824	Market	3	Pending Open	3Q_sim14	Buy					AutoTrader_	Order update (New). Info: Order from DTC client #3. Sierra Chart. 127.0.0.1 | Client text: Tag: AutoTrader_. Text: Tag: AutoTrader_	20479549	CLG26	Open						0.00		20479549.34325	Good till Canceled	shimishon	Y
Orders	2026-01-19  14:30:32.472873	2026-01-19  14:30:32.472871	20523824	Market	3	Open	3Q_sim14	Buy					AutoTrader_	Order update (Order update). Info: Trading Evaluator (Order update). Info: Simulated order accepted. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20479549	CLG26	Open						0.00	37537204	20479549.34325	Good till Canceled	shimishon	Y
Orders	2026-01-19  14:30:32.472880	2026-01-19  14:30:32.472879	20523824	Market	3	Filled	3Q_sim14	Buy			59.2799987	3	AutoTrader_	Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.24 Ask: 59.28 Last: 59.25. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20479549	CLG26	Open			37537204.1			0.00	37537204	20479549.34325	Good till Canceled	shimishon	Y
Positions	2026-01-19  14:30:32.472884	00:00:00.000000			3	Unspecified	3Q_sim14							Updated Internal Position Quantity to 3. Previous: 0. Fill of InternalOrderID: 20479549		CLG26			3				0.00					N
Fills	2026-01-19  14:30:32.472886	2026-01-19  14:30:33.000000	20523824	Market	3	Filled	3Q_sim14	Buy			59.2799987	3	AutoTrader_	Order update (Filled). Info: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 59.24 Ask: 59.28 Last: 59.25. Text: Tag: Tag: AutoTrader_. Text: Tag: AutoTrader_	20479549	CLG26	Open		3	37537204.1			0.00	37537204	20479549.34325	Good till Canceled	shimishon	Y
Positions	2026-01-19  14:30:32.473003	00:00:00.000000				Unspecified	3Q_sim14							Updated Service Position Quantity to 3		CLG26			3				0.00					N
Orders	2026-01-19  14:30:32.554427	2026-01-19  14:30:32.554417		Stop Limit	3	Order Sent	3Q_sim14	Sell	59.0299987	58.6299987			AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2026-01-19  09:30:33.016 | Last: 59.25 | Scaling out | AOE=false | AOU=false	20479581	CLG26	Close		3				0.00			Good till Canceled		Y
Orders	2026-01-19  14:30:32.554937	2026-01-19  14:30:32.554930		Limit	1	Order Sent	3Q_sim14	Sell	59.4799987				AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2026-01-19  09:30:33.016 | Last: 59.25 | Scaling out | AOE=false | AOU=false	20479582	CLG26	Close		3				0.00			Good till Canceled		Y
Orders	2026-01-19  14:30:32.555142	2026-01-19  14:30:32.555138		Limit	1	Order Sent	3Q_sim14	Sell	59.8799987				AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2026-01-19  09:30:33.016 | Last: 59.25 | Scaling out | AOE=false | AOU=false	20479583	CLG26	Close		3				0.00			Good till Canceled		Y
Orders	2026-01-19  14:30:32.555342	2026-01-19  14:30:32.555337		Limit	1	Order Sent	3Q_sim14	Sell	61.2799986				AutoTrader_	Auto-trade: CLG26 [CBV]  500 Volume #3 | Autotrader V1.3 | SellEntry | AutoTrader_ | Bar start date-time: 2026-01-19  09:30:33.016 | Last: 59.25 | Scaling out | AOE=false | AOU=false	20479584	CLG26	Close		3				0.00			Good till Canceled		Y
