ActivityType	DateTime	TransDateTime	ServiceOrderID	OrderType	Quantity	OrderStatus	TradeAccount	BuySell	Price	Price2	FillPrice	FilledQuantity	Note	PositionQuantity	OrderActionSource	InternalOrderID	OpenClose	IsAutomated	Symbol	ParentInternalOrderID	FillExecutionServiceID	HighDuringPosition	LowDuringPosition	AccountBalance	ExchangeOrderID	ClientOrderID	TimeInForce	Username
Orders	2025-12-18  00:02:02.212726	2025-12-18  00:02:02.212718	36781821	Trailing Stop	1	Filled	V_sim16	Sell	24980.00		24980.00	1	AT_NQ_TM(D-R-2+last50)	1	Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24980.00 Ask: 24980.50 Last: 24980.00. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090741	Close	Y	NQH26		36781821.1			0.00	36781821	20090741.52127	Good till Canceled	shimishon
Positions	2025-12-18  00:02:02.212748	00:00:00.000000			1	Unspecified	V_sim16								Updated Internal Position Quantity to 0. Previous: 1. Fill of InternalOrderID: 20090741			N	NQH26					0.00				
Fills	2025-12-18  00:02:02.212753	2025-12-18  00:02:02.043000	36781821	Trailing Stop	1	Filled	V_sim16	Sell	24980.00		24980.00	1	AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24980.00 Ask: 24980.50 Last: 24980.00. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090741	Close	Y	NQH26		36781821.1	24991.00	24977.50	0.00	36781821	20090741.52127	Good till Canceled	shimishon
Positions	2025-12-18  00:02:02.212947	00:00:00.000000				Unspecified	V_sim16								Updated Service Position Quantity to 0			N	NQH26					0.00				
Orders	2025-12-18  00:02:02.321178	2025-12-18  00:02:02.321173	36781821	Trailing Stop	1	Pending Cancel	V_sim16	Sell	24980.00		24980.00	1	AT_NQ_TM(D-R-2+last50)		Auto-trade canceled order: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3	20090741	Close	Y	NQH26		36781821.1			0.00	36781821	20090741.52127	Good till Canceled	shimishon
Orders	2025-12-18  00:02:02.321338	2025-12-18  00:02:02.321337	36781811	Limit	1	Open	V_sim16	Sell	25023.00				AT_NQ_TM(D-R-2+last50)		Initiating: Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  00:00:00.000	20090733	Close	Y	NQH26					0.00	36781811	20090733.85441	Good till Canceled	shimishon
Orders	2025-12-18  00:02:02.321351	2025-12-18  00:02:02.321349	36781811	Limit	1	Pending Cancel	V_sim16	Sell	25023.00				AT_NQ_TM(D-R-2+last50)		Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  00:00:00.000	20090733	Close	Y	NQH26					0.00	36781811	20090733.85441	Good till Canceled	
Orders	2025-12-18  00:02:02.321378	2025-12-18  00:02:02.321377	36781821	Trailing Stop	1	Pending Cancel	V_sim16	Sell	24980.00		24980.00	1	AT_NQ_TM(D-R-2+last50)		Canceling of order is being delayed. (Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  00:00:00.000)	20090741	Close	Y	NQH26		36781821.1			0.00	36781821	20090741.52127	Good till Canceled	
Orders	2025-12-18  00:02:02.479968	2025-12-18  00:02:02.479962	36781821	Trailing Stop	1	Filled	V_sim16	Sell	24980.00		24980.00	1	AT_NQ_TM(D-R-2+last50)		Order cancellation failed | Trading Evaluator (Order cancel reject). Info: Order cancellation failed | The order is no longer working and cannot be canceled. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090741	Close	Y	NQH26		36781821.1			0.00	36781821	20090741.52127	Good till Canceled	
Orders	2025-12-18  00:02:02.480047	2025-12-18  00:02:02.480046	36781811	Limit	1	Canceled	V_sim16	Sell	25023.00				AT_NQ_TM(D-R-2+last50)		Trading Evaluator (Canceled). Info: Simulated order canceled. Text: Tag: AT_NQ_TM(D-R-2+last50)	20090733	Close	Y	NQH26					0.00	36781811	20090733.85441	Good till Canceled	shimishon
Orders	2025-12-18  00:02:02.598398	2025-12-18  00:02:02.598396				Unspecified	V_sim16								Auto-trade: NQH26 [CBV][M]  3 Min  #6 | Autotrader V1.3 | Canceling all orders | Source: ACSIL Cancel All Orders | Bar start date-time: 2025-12-18  00:00:00.000 | No working orders to cancel for Symbol and Account			N	NQH26					0.00			Day	
