Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQH26 (V_sim16)	Short	2025-12-18  00:14:42.982 BP	2025-12-18  00:24:02.360	24986.25	24982.25	1	3	1	75.80	75.80	AT_NQ_TM(D-R-2+last50)	3	2	00:09:19	4.20	24989.50	24982.00	93.9%	100.0%	75.80	85.00	-65.00	85.00	-65.00	50.5%	V_sim16	75.80	0.00	75.80	0.00
NQH26	Short	2025-12-18  00:14:42.982	2025-12-18  00:25:10.413	24986.25	24977.00	1	3	2	180.80	256.60	AT_NQ_TM(D-R-2+last50)	3	1	00:10:27	4.20	24989.50	24977.00	77.7%	100.0%	256.60	270.00	-130.00	185.00	-65.00	45.2%	V_sim16	256.60	0.00	256.60	0.00
NQH26	Short	2025-12-18  00:14:42.982	2025-12-18  00:27:47.266 EP	24986.25	24976.75	1	3	3	185.80	442.40	AT_NQ_TM(D-R-2+last50)	3	0	00:13:04	4.20	24989.50	24965.50	43.3%	100.0%	442.40 F	685.00	-195.00	415.00	-65.00	21.1%	V_sim16	442.40	0.00	442.40	0.00
NQH26	Long	2025-12-18  00:42:04.281 BP	2025-12-18  00:46:20.039 EP	24991.50	24976.00	3	3	3	-942.60	-500.20	AT_NQ_TM(D-R-2+last50)	3	0	00:04:15	12.60	24991.50	24976.00	-1.4%	100.0%	-942.60 F	0.00	-930.00	0.00	-930.00	-101.4%	V_sim16	442.40	-500.20	442.40	-942.60
NQH26	Long	2025-12-18  00:56:12.342 BP	2025-12-18  01:00:21.021 EP	24988.75	24979.50	3	3	3	-567.60	-1067.80	AT_NQ_TM(D-R-2+last50)	3	0	00:04:08	12.60	24992.00	24979.50	-1.7%	100.0%	-567.60 F	195.00	-555.00	195.00	-555.00	-75.7%	V_sim16	442.40	-1067.80	442.40	-1510.20
NQH26	Short	2025-12-18  01:16:33.269 BP	2025-12-18  01:19:17.190 EP	24976.00	24985.00	3	3	3	-552.60	-1620.40	AT_NQ_TM(D-R-2+last50)	3	0	00:02:43	12.60	24985.00	24974.50	-2.0%	100.0%	-552.60 F	90.00	-540.00	90.00	-540.00	-87.7%	V_sim16	442.40	-1620.40	442.40	-2062.80
NQH26	Short	2025-12-18  01:25:19.136 BP	2025-12-18  01:27:34.190 EP	24972.25	24981.75	3	3	3	-582.60	-2203.00	AT_NQ_TM(D-R-2+last50)	3	0	00:02:15	12.60	24981.75	24971.25	-2.0%	100.0%	-582.60 F	60.00	-570.00	60.00	-570.00	-92.5%	V_sim16	442.40	-2203.00	442.40	-2645.40
NQH26	Short	2025-12-18  01:46:58.024 BP	2025-12-18  01:48:37.040	24975.25	24971.25	1	3	1	75.80	-2127.20	AT_NQ_TM(D-R-2+last50)	3	2	00:01:39	4.20	24978.25	24971.25	97.0%	100.0%	75.80	80.00	-60.00	80.00	-60.00	54.1%	V_sim16	442.40	-2203.00	442.40	-2645.40
NQH26	Short	2025-12-18  01:46:58.024	2025-12-18  01:48:52.777	24975.25	24966.00	1	3	2	180.80	-1946.40	AT_NQ_TM(D-R-2+last50)	3	1	00:01:54	4.20	24978.25	24966.00	78.1%	100.0%	256.60	265.00	-120.00	185.00	-60.00	47.0%	V_sim16	442.40	-2203.00	442.40	-2645.40
NQH26	Short	2025-12-18  01:46:58.024	2025-12-18  01:50:08.844 EP	24975.25	24973.00	1	3	3	40.80	-1905.60	AT_NQ_TM(D-R-2+last50)	3	0	00:03:10	4.20	24978.25	24962.25	31.3%	100.0%	297.40 F	525.00	-180.00	260.00	-60.00	5.8%	V_sim16	442.40	-2203.00	442.40	-2645.40
