2025-12-18  08:05:08.3 | Orders     | Stop Limit | Q:3   | S:Filled     | ID:36782699   | Tag: AT_NQ_TM(D-R-2+last50)
2025-12-18  08:23:35.2 | Orders     | Limit      | Q:1   | S:Filled     | ID:36782700   | Tag: AT_NQ_TM(D-R-2+last50)
2025-12-18  08:43:04.5 | Orders     | Limit      | Q:1   | S:Filled     | ID:36782701   | Tag: AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:48.3 | Positions  |            | Q:    | S:Unspecified | ID:           | 
2025-12-18  09:05:48.3 | Orders     | Stop Limit | Q:3   | S:Pending Cancel | ID:36782699   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:48.3 | Orders     | Stop Limit | Q:3   | S:Canceled   | ID:36782699   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:48.3 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36782700   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:48.3 | Orders     | Limit      | Q:1   | S:Canceled   | ID:36782700   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:48.3 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36782701   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:48.3 | Orders     | Limit      | Q:1   | S:Canceled   | ID:36782701   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:54.6 | Positions  |            | Q:    | S:Unspecified | ID:           | 
2025-12-18  09:05:56.7 | Orders     | Limit      | Q:1   | S:Open       | ID:36782702   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:56.7 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36782702   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:56.7 | Orders     | Market     | Q:2   | S:Order Sent | ID:           | 
2025-12-18  09:05:56.9 | Orders     | Limit      | Q:1   | S:Canceled   | ID:36782702   | AT_NQ_TM(D-R-2+last50)
2025-12-18  09:05:56.9 | Orders     | Market     | Q:2   | S:Pending Open | ID:36783140   | 
2025-12-18  09:05:56.9 | Orders     | Market     | Q:2   | S:Open       | ID:36783140   | 
2025-12-18  09:05:56.9 | Orders     | Market     | Q:2   | S:Filled     | ID:36783140   | 
2025-12-18  09:05:56.9 | Positions  |            | Q:2   | S:Unspecified | ID:           | 
2025-12-18  09:05:56.9 | Fills      | Market     | Q:2   | S:Filled     | ID:36783140   | 
2025-12-18  09:05:56.9 | Positions  |            | Q:    | S:Unspecified | ID:           | 
2025-12-18  09:06:04.6 | Positions  |            | Q:    | S:Unspecified | ID:           | 
2025-12-18  13:10:23.5 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:10:23.9 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:10:23.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:10:23.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:10:23.9 | Orders     | Limit      | Q:1   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:11:15.5 | Orders     | Limit      | Q:1   | S:Open       | ID:36786076   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:11:15.5 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36786076   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:11:15.5 | Orders     | Limit      | Q:1   | S:Pending Cancel | ID:36786077   | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:12:20.5 | Orders     | Market     | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:12:20.8 | Orders     | Stop Limit | Q:3   | S:Order Sent | ID:           | AT_NQ_TM(D-R-2+last50)
