#   | UTC Time                  | NY Time    | Side  | Qty | PrePos | PostPos | OID          | Status
------------------------------------------------------------------------------------------------------------------------
  1 | 2025-12-18T00:01:42.504   | 19:01:42   | SELL  |   1 |      0 |      -1 | 36779254.1   | OK
  2 | 2025-12-18T00:01:51.397   | 19:01:51   | SELL  |   1 |     -1 |      -2 | 36779255.1   | OK
  3 | 2025-12-18T00:02:52.930   | 19:02:52   | BUY   |   1 |     -2 |      -1 | 36779322.1   | OK
  4 | 2025-12-18T00:13:26.339   | 19:13:26   | BUY   |   3 |     -1 |       2 | 36779472.1   | OK
  5 | 2025-12-18T00:14:07.628   | 19:14:07   | BUY   |   1 |      2 |       3 | 36779474.1   | OK
  6 | 2025-12-18T00:16:30.482   | 19:16:30   | BUY   |   1 |      3 |       4 | 36779475.1   | OVER! net=4
  7 | 2025-12-18T00:46:17.400   | 19:46:17   | BUY   |   3 |      4 |       7 | 36779942.1   | OVER! net=7
  8 | 2025-12-18T00:46:58.998   | 19:46:58   | BUY   |   1 |      7 |       8 | 36779944.1   | OVER! net=8
  9 | 2025-12-18T00:48:59.020   | 19:48:59   | SELL  |   1 |      8 |       7 | 36779945.1   | OVER! net=7
 10 | 2025-12-18T00:54:06.275   | 19:54:06   | SELL  |   1 |      7 |       6 | 36779959.1   | OVER! net=6
 11 | 2025-12-18T01:05:02.889   | 20:05:02   | SELL  |   3 |      6 |       3 | 36780080.1   | OK
 12 | 2025-12-18T01:06:16.209   | 20:06:16   | SELL  |   1 |      3 |       2 | 36780086.1   | OK
 13 | 2025-12-18T01:06:35.336   | 20:06:35   | SELL  |   2 |      2 |       0 | 36780085.1   | OK
 14 | 2025-12-18T01:12:02.407   | 20:12:02   | SELL  |   3 |      0 |      -3 | 36780187.1   | OK
 15 | 2025-12-18T01:13:43.217   | 20:13:43   | BUY   |   3 |     -3 |       0 | 36780192.1   | OK
 16 | 2025-12-18T01:40:47.958   | 20:40:47   | BUY   |   3 |      0 |       3 | 36780353.1   | OK
 17 | 2025-12-18T01:47:10.923   | 20:47:10   | SELL  |   1 |      3 |       2 | 36780355.1   | OK
 18 | 2025-12-18T01:49:55.228   | 20:49:55   | SELL  |   2 |      2 |       0 | 36780354.1   | OK
 19 | 2025-12-18T01:51:15.369   | 20:51:15   | BUY   |   3 |      0 |       3 | 36780405.1   | OK
 20 | 2025-12-18T01:54:01.114   | 20:54:01   | SELL  |   1 |      3 |       2 | 36780408.1   | OK
 21 | 2025-12-18T01:54:16.672   | 20:54:16   | SELL  |   1 |      2 |       1 | 36780409.1   | OK
 22 | 2025-12-18T01:55:11.657   | 20:55:11   | BUY   |   1 |      1 |       2 | 36780432.1   | OK
 23 | 2025-12-18T02:06:02.909   | 21:06:02   | SELL  |   3 |      2 |      -1 | 36780546.1   | OK
 24 | 2025-12-18T02:06:31.979   | 21:06:31   | BUY   |   3 |     -1 |       2 | 36780547.1   | OK
 25 | 2025-12-18T02:12:03.654   | 21:12:03   | BUY   |   3 |      2 |       5 | 36780601.1   | OVER! net=5
 26 | 2025-12-18T02:18:03.952   | 21:18:03   | BUY   |   1 |      5 |       6 | 36780603.1   | OVER! net=6
 27 | 2025-12-18T02:18:31.908   | 21:18:31   | SELL  |   2 |      6 |       4 | 36780602.1   | OVER! net=4
 28 | 2025-12-18T02:33:14.419   | 21:33:14   | BUY   |   3 |      4 |       7 | 36780916.1   | OVER! net=7
 29 | 2025-12-18T02:35:16.627   | 21:35:16   | BUY   |   1 |      7 |       8 | 36780918.1   | OVER! net=8
 30 | 2025-12-18T02:37:36.960   | 21:37:36   | SELL  |   2 |      8 |       6 | 36780917.1   | OVER! net=6
 31 | 2025-12-18T02:45:24.408   | 21:45:24   | SELL  |   3 |      6 |       3 | 36780995.1   | OK
 32 | 2025-12-18T02:48:54.322   | 21:48:54   | SELL  |   1 |      3 |       2 | 36781002.1   | OK
 33 | 2025-12-18T02:49:45.702   | 21:49:45   | BUY   |   1 |      2 |       3 | 36781003.1   | OK
 34 | 2025-12-18T02:53:03.743   | 21:53:03   | BUY   |   1 |      3 |       4 | 36781074.1   | OVER! net=4
 35 | 2025-12-18T02:54:19.442   | 21:54:19   | SELL  |   3 |      4 |       1 | 36781092.1   | OK
 36 | 2025-12-18T03:01:37.142   | 22:01:37   | SELL  |   3 |      1 |      -2 | 36781094.1   | OK
 37 | 2025-12-18T03:04:42.912   | 22:04:42   | BUY   |   3 |     -2 |       1 | 36781152.1   | OK
 38 | 2025-12-18T03:06:10.392   | 22:06:10   | BUY   |   1 |      1 |       2 | 36781154.1   | OK
 39 | 2025-12-18T03:06:23.995   | 22:06:23   | SELL  |   1 |      2 |       1 | 36781155.1   | OK
 40 | 2025-12-18T03:08:03.322   | 22:08:03   | BUY   |   1 |      1 |       2 | 36781171.1   | OK
 41 | 2025-12-18T03:48:00.493   | 22:48:00   | SELL  |   3 |      2 |      -1 | 36781548.1   | OK
 42 | 2025-12-18T03:51:21.626   | 22:51:21   | BUY   |   1 |     -1 |       0 | 36781550.1   | OK
 43 | 2025-12-18T03:51:42.989   | 22:51:42   | SELL  |   1 |      0 |      -1 | 36781551.1   | OK
 44 | 2025-12-18T03:58:35.802   | 22:58:35   | SELL  |   1 |     -1 |      -2 | 36781577.1   | OK
 45 | 2025-12-18T04:19:16.432   | 23:19:16   | BUY   |   3 |     -2 |       1 | 36781732.1   | OK
 46 | 2025-12-18T04:22:24.967   | 23:22:24   | SELL  |   1 |      1 |       0 | 36781734.1   | OK
 47 | 2025-12-18T04:33:37.091   | 23:33:37   | BUY   |   1 |      0 |       1 | 36781735.1   | OK
 48 | 2025-12-18T04:37:35.471   | 23:37:35   | SELL  |   1 |      1 |       0 | 36781790.1   | OK
 49 | 2025-12-18T04:42:26.623   | 23:42:26   | SELL  |   3 |      0 |      -3 | 36781794.1   | OK
 50 | 2025-12-18T04:42:48.713   | 23:42:48   | SELL  |   1 |     -3 |      -4 | 36781809.1   | OVER! net=-4
 51 | 2025-12-18T04:44:02.651   | 23:44:02   | BUY   |   1 |     -4 |      -3 | 36781810.1   | OK
 52 | 2025-12-18T05:02:02.212   | 00:02:02   | SELL  |   1 |     -3 |      -4 | 36781821.1   | OVER! net=-4
 53 | 2025-12-18T05:14:43.551   | 00:14:43   | BUY   |   3 |     -4 |      -1 | 36781878.1   | OK
 54 | 2025-12-18T05:24:02.432   | 00:24:02   | BUY   |   1 |     -1 |       0 | 36781885.1   | OK
 55 | 2025-12-18T05:25:10.443   | 00:25:10   | SELL  |   1 |      0 |      -1 | 36781886.1   | OK
 56 | 2025-12-18T05:27:47.347   | 00:27:47   | BUY   |   1 |     -1 |       0 | 36781946.1   | OK
 57 | 2025-12-18T05:42:04.701   | 00:42:04   | BUY   |   3 |      0 |       3 | 36782027.1   | OK
 58 | 2025-12-18T05:46:20.078   | 00:46:20   | SELL  |   3 |      3 |       0 | 36782028.1   | OK
 59 | 2025-12-18T05:56:12.768   | 00:56:12   | BUY   |   3 |      0 |       3 | 36782068.1   | OK
 60 | 2025-12-18T06:00:21.018   | 01:00:21   | SELL  |   3 |      3 |       0 | 36782069.1   | OK
 61 | 2025-12-18T06:16:33.486   | 01:16:33   | SELL  |   3 |      0 |      -3 | 36782111.1   | OK
 62 | 2025-12-18T06:19:17.236   | 01:19:17   | BUY   |   3 |     -3 |       0 | 36782120.1   | OK
 63 | 2025-12-18T06:25:19.306   | 01:25:19   | SELL  |   3 |      0 |      -3 | 36782142.1   | OK
 64 | 2025-12-18T06:27:34.154   | 01:27:34   | BUY   |   3 |     -3 |       0 | 36782144.1   | OK
 65 | 2025-12-18T06:46:58.381   | 01:46:58   | SELL  |   3 |      0 |      -3 | 36782197.1   | OK
 66 | 2025-12-18T06:48:36.914   | 01:48:36   | SELL  |   1 |     -3 |      -4 | 36782208.1   | OVER! net=-4
 67 | 2025-12-18T06:48:52.753   | 01:48:52   | SELL  |   1 |     -4 |      -5 | 36782209.1   | OVER! net=-5
 68 | 2025-12-18T06:50:08.661   | 01:50:08   | BUY   |   1 |     -5 |      -4 | 36782216.1   | OVER! net=-4
 69 | 2025-12-18T06:54:07.793   | 01:54:07   | SELL  |   3 |     -4 |      -7 | 36782267.1   | OVER! net=-7
 70 | 2025-12-18T06:57:27.073   | 01:57:27   | BUY   |   3 |     -7 |      -4 | 36782268.1   | OVER! net=-4
 71 | 2025-12-18T07:00:02.284   | 02:00:02   | SELL  |   3 |     -4 |      -7 | 36782306.1   | OVER! net=-7
 72 | 2025-12-18T07:00:12.235   | 02:00:12   | BUY   |   1 |     -7 |      -6 | 36782308.1   | OVER! net=-6
 73 | 2025-12-18T07:00:34.898   | 02:00:34   | BUY   |   1 |     -6 |      -5 | 36782309.1   | OVER! net=-5
 74 | 2025-12-18T07:02:05.759   | 02:02:05   | SELL  |   1 |     -5 |      -6 | 36782318.1   | OVER! net=-6
 75 | 2025-12-18T07:12:14.296   | 02:12:14   | SELL  |   3 |     -6 |      -9 | 36782481.1   | OVER! net=-9
 76 | 2025-12-18T07:12:41.604   | 02:12:41   | BUY   |   1 |     -9 |      -8 | 36782483.1   | OVER! net=-8
 77 | 2025-12-18T07:12:48.334   | 02:12:48   | BUY   |   2 |     -8 |      -6 | 36782482.1   | OVER! net=-6
 78 | 2025-12-18T07:15:23.872   | 02:15:23   | BUY   |   3 |     -6 |      -3 | 36782518.1   | OK
 79 | 2025-12-18T07:18:14.172   | 02:18:14   | BUY   |   1 |     -3 |      -2 | 36782526.1   | OK
 80 | 2025-12-18T07:18:56.051   | 02:18:56   | SELL  |   2 |     -2 |      -4 | 36782525.1   | OVER! net=-4
 81 | 2025-12-18T07:26:26.437   | 02:26:26   | BUY   |   3 |     -4 |      -1 | 36782689.1   | OK
 82 | 2025-12-18T07:26:26.896   | 02:26:26   | BUY   |   3 |     -1 |       2 | N/A          | OK
 83 | 2025-12-18T08:05:08.395   | 03:05:08   | SELL  |   3 |      2 |      -1 | N/A          | OK
 84 | 2025-12-18T08:23:35.201   | 03:23:35   | SELL  |   1 |     -1 |      -2 | N/A          | OK
 85 | 2025-12-18T08:43:04.525   | 03:43:04   | SELL  |   1 |     -2 |      -3 | N/A          | OK
 86 | 2025-12-18T09:18:31.102   | 04:18:31   | SELL  |   3 |     -3 |      -6 | 36783303.1   | OVER! net=-6
 87 | 2025-12-18T09:18:46.901   | 04:18:46   | BUY   |   3 |     -6 |      -3 | 36783314.1   | OK
 88 | 2025-12-18T09:46:08.315   | 04:46:08   | BUY   |   3 |     -3 |       0 | 36783708.1   | OK
 89 | 2025-12-18T09:46:11.649   | 04:46:11   | BUY   |   1 |      0 |       1 | 36783719.1   | OK
 90 | 2025-12-18T09:46:12.005   | 04:46:12   | BUY   |   2 |      1 |       3 | 36783718.1   | OK
 91 | 2025-12-18T09:52:27.829   | 04:52:27   | BUY   |   3 |      3 |       6 | 36783787.1   | OVER! net=6
 92 | 2025-12-18T09:52:46.568   | 04:52:46   | BUY   |   1 |      6 |       7 | 36783789.1   | OVER! net=7
 93 | 2025-12-18T09:54:47.542   | 04:54:47   | SELL  |   2 |      7 |       5 | 36783788.1   | OVER! net=5
 94 | 2025-12-18T10:00:00.434   | 05:00:00   | BUY   |   3 |      5 |       8 | 36783886.1   | OVER! net=8
 95 | 2025-12-18T10:03:31.036   | 05:03:31   | SELL  |   3 |      8 |       5 | 36783887.1   | OVER! net=5
 96 | 2025-12-18T10:15:39.126   | 05:15:39   | SELL  |   3 |      5 |       2 | 36784117.1   | OK
 97 | 2025-12-18T10:23:44.231   | 05:23:44   | BUY   |   1 |      2 |       3 | 36784128.1   | OK
 98 | 2025-12-18T10:23:51.184   | 05:23:51   | BUY   |   2 |      3 |       5 | 36784127.1   | OVER! net=5
 99 | 2025-12-18T10:30:00.203   | 05:30:00   | BUY   |   3 |      5 |       8 | 36784229.1   | OVER! net=8
100 | 2025-12-18T10:31:24.074   | 05:31:24   | SELL  |   1 |      8 |       7 | 36784237.1   | OVER! net=7
101 | 2025-12-18T10:32:34.960   | 05:32:34   | SELL  |   1 |      7 |       6 | 36784238.1   | OVER! net=6
102 | 2025-12-18T10:35:30.014   | 05:35:30   | SELL  |   1 |      6 |       5 | 36784248.1   | OVER! net=5
103 | 2025-12-18T11:09:15.829   | 06:09:15   | SELL  |   3 |      5 |       2 | 36784617.1   | OK
104 | 2025-12-18T11:13:02.735   | 06:13:02   | SELL  |   1 |      2 |       1 | 36784619.1   | OK
105 | 2025-12-18T11:13:53.051   | 06:13:53   | SELL  |   2 |      1 |      -1 | 36784618.1   | OK
106 | 2025-12-18T11:25:20.451   | 06:25:20   | SELL  |   3 |     -1 |      -4 | 36784754.1   | OVER! net=-4
107 | 2025-12-18T11:25:47.807   | 06:25:47   | BUY   |   1 |     -4 |      -3 | 36784765.1   | OK
108 | 2025-12-18T11:25:53.431   | 06:25:53   | SELL  |   1 |     -3 |      -4 | 36784766.1   | OVER! net=-4
109 | 2025-12-18T11:26:59.890   | 06:26:59   | BUY   |   1 |     -4 |      -3 | 36784777.1   | OK
110 | 2025-12-18T11:34:18.444   | 06:34:18   | BUY   |   3 |     -3 |       0 | 36784865.1   | OK
111 | 2025-12-18T11:35:11.641   | 06:35:11   | BUY   |   1 |      0 |       1 | 36784867.1   | OK
112 | 2025-12-18T11:37:32.191   | 06:37:32   | SELL  |   2 |      1 |      -1 | 36784866.1   | OK
113 | 2025-12-18T11:39:29.467   | 06:39:29   | BUY   |   3 |     -1 |       2 | 36784917.1   | OK
114 | 2025-12-18T11:43:20.057   | 06:43:20   | BUY   |   1 |      2 |       3 | 36784919.1   | OK
115 | 2025-12-18T11:43:42.101   | 06:43:42   | SELL  |   1 |      3 |       2 | 36784920.1   | OK
116 | 2025-12-18T11:46:23.667   | 06:46:23   | BUY   |   1 |      2 |       3 | 36784993.1   | OK
117 | 2025-12-18T12:00:15.531   | 07:00:15   | BUY   |   3 |      3 |       6 | 36785118.1   | OVER! net=6
118 | 2025-12-18T12:01:56.959   | 07:01:56   | SELL  |   3 |      6 |       3 | 36785119.1   | OK
119 | 2025-12-18T12:04:10.043   | 07:04:10   | BUY   |   3 |      3 |       6 | 36785193.1   | OVER! net=6
120 | 2025-12-18T12:05:05.035   | 07:05:05   | SELL  |   1 |      6 |       5 | 36785197.1   | OVER! net=5
121 | 2025-12-18T12:05:52.446   | 07:05:52   | SELL  |   2 |      5 |       3 | 36785196.1   | OK
122 | 2025-12-18T12:37:30.147   | 07:37:30   | BUY   |   3 |      3 |       6 | 36785617.1   | OVER! net=6
123 | 2025-12-18T12:43:40.336   | 07:43:40   | SELL  |   1 |      6 |       5 | 36785619.1   | OVER! net=5
124 | 2025-12-18T12:45:02.528   | 07:45:02   | SELL  |   2 |      5 |       3 | 36785618.1   | OK
125 | 2025-12-18T12:51:54.216   | 07:51:54   | SELL  |   3 |      3 |       0 | 36785686.1   | OK
126 | 2025-12-18T12:52:35.110   | 07:52:35   | BUY   |   1 |      0 |       1 | 36785692.1   | OK
127 | 2025-12-18T12:53:08.244   | 07:53:08   | BUY   |   2 |      1 |       3 | 36785691.1   | OK
128 | 2025-12-18T13:10:23.740   | 08:10:23   | SELL  |   3 |      3 |       0 | 36786071.1   | OK
129 | 2025-12-18T13:10:30.505   | 08:10:30   | BUY   |   1 |      0 |       1 | 36786075.1   | OK
130 | 2025-12-18T13:11:15.573   | 08:11:15   | SELL  |   2 |      1 |      -1 | 36786074.1   | OK
131 | 2025-12-18T13:12:20.745   | 08:12:20   | SELL  |   3 |     -1 |      -4 | 36786102.1   | OVER! net=-4
132 | 2025-12-18T13:13:19.360   | 08:13:19   | SELL  |   1 |     -4 |      -5 | 36786104.1   | OVER! net=-5
133 | 2025-12-18T13:15:10.770   | 08:15:10   | BUY   |   1 |     -5 |      -4 | 36786105.1   | OVER! net=-4
134 | 2025-12-18T13:17:35.663   | 08:17:35   | SELL  |   1 |     -4 |      -5 | 36786150.1   | OVER! net=-5
135 | 2025-12-18T13:20:59.811   | 08:20:59   | SELL  |   3 |     -5 |      -8 | 36786286.1   | OVER! net=-8
136 | 2025-12-18T13:24:10.575   | 08:24:10   | BUY   |   3 |     -8 |      -5 | 36786287.1   | OVER! net=-5
137 | 2025-12-18T13:37:27.630   | 08:37:27   | SELL  |   3 |     -5 |      -8 | 36787408.1   | OVER! net=-8
138 | 2025-12-18T13:38:07.502   | 08:38:07   | SELL  |   1 |     -8 |      -9 | 36787410.1   | OVER! net=-9
139 | 2025-12-18T13:38:30.382   | 08:38:30   | BUY   |   1 |     -9 |      -8 | 36787411.1   | OVER! net=-8
140 | 2025-12-18T13:38:56.048   | 08:38:56   | SELL  |   1 |     -8 |      -9 | 36787478.1   | OVER! net=-9
141 | 2025-12-18T13:39:41.845   | 08:39:41   | SELL  |   3 |     -9 |     -12 | 36787576.1   | OVER! net=-12
142 | 2025-12-18T13:40:11.564   | 08:40:11   | SELL  |   1 |    -12 |     -13 | 36787581.1   | OVER! net=-13
143 | 2025-12-18T13:40:17.563   | 08:40:17   | BUY   |   1 |    -13 |     -12 | 36787582.1   | OVER! net=-12
144 | 2025-12-18T13:40:38.569   | 08:40:38   | SELL  |   1 |    -12 |     -13 | 36787670.1   | OVER! net=-13
145 | 2025-12-18T13:43:01.940   | 08:43:01   | BUY   |   3 |    -13 |     -10 | 36787882.1   | OVER! net=-10
146 | 2025-12-18T13:44:18.457   | 08:44:18   | BUY   |   1 |    -10 |      -9 | 36787884.1   | OVER! net=-9
147 | 2025-12-18T13:44:35.647   | 08:44:35   | SELL  |   2 |     -9 |     -11 | 36787883.1   | OVER! net=-11
148 | 2025-12-18T13:52:48.411   | 08:52:48   | BUY   |   3 |    -11 |      -8 | 36788589.1   | OVER! net=-8
149 | 2025-12-18T13:53:19.954   | 08:53:19   | SELL  |   1 |     -8 |      -9 | 36788595.1   | OVER! net=-9
150 | 2025-12-18T13:53:49.171   | 08:53:49   | BUY   |   2 |     -9 |      -7 | 36788594.1   | OVER! net=-7
151 | 2025-12-18T14:17:06.029   | 09:17:06   | BUY   |   3 |     -7 |      -4 | 36789744.1   | OVER! net=-4
152 | 2025-12-18T14:25:23.997   | 09:25:23   | BUY   |   3 |     -4 |      -1 | 36789750.1   | OK
153 | 2025-12-18T15:24:04.101   | 10:24:04   | BUY   |   3 |     -1 |       2 | 36810009.1   | OK
154 | 2025-12-18T15:24:48.641   | 10:24:48   | BUY   |   1 |      2 |       3 | 36810011.1   | OK
155 | 2025-12-18T15:26:14.350   | 10:26:14   | SELL  |   1 |      3 |       2 | 36810012.1   | OK
156 | 2025-12-18T15:55:11.782   | 10:55:11   | SELL  |   3 |      2 |      -1 | 36816296.1   | OK
157 | 2025-12-18T15:57:10.973   | 10:57:10   | SELL  |   3 |     -1 |      -4 | 36816297.1   | OVER! net=-4
158 | 2025-12-18T16:06:07.315   | 11:06:07   | SELL  |   3 |     -4 |      -7 | 36818866.1   | OVER! net=-7
159 | 2025-12-18T16:11:49.857   | 11:11:49   | BUY   |   1 |     -7 |      -6 | 36818873.1   | OVER! net=-6
