--- V_SIM16 Dec 18 Position Math Tracing ---
[OVERLIMIT] 19:13:26 | Side: SELL | Qty: 1 | POS: -6 -> -7 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24934.75 Ask: 24936.25 Last: 24937.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:13:26 | Side: SELL | Qty: 1 | POS: -7 -> -8 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24934.75 Ask: 24936.25 Last: 24937.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:14:07 | Side: SELL | Qty: 1 | POS: -8 -> -9 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24941.50 Ask: 24943.25 Last: 24943.25. Fill based on queue
[OVERLIMIT] 19:14:07 | Side: SELL | Qty: 1 | POS: -9 -> -10 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24941.50 Ask: 24943.25 Last: 24943.25. Fill based on queue
[OVERLIMIT] 19:16:30 | Side: SELL | Qty: 1 | POS: -10 -> -11 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24950.50 Ask: 24952.00 Last: 24951.75. Fill based on queue
[OVERLIMIT] 19:16:30 | Side: SELL | Qty: 1 | POS: -11 -> -12 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24950.50 Ask: 24952.00 Last: 24951.75. Fill based on queue
[NOTELESS] 19:17:13 | Side: SELL | Qty: 1 | POS: -12 -> -13 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24956.00 Ask: 24956.75 Last: 24955.50
[NOTELESS] 19:17:13 | Side: SELL | Qty: 1 | POS: -13 -> -14 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24956.00 Ask: 24956.75 Last: 24955.50
[OVERLIMIT] 19:46:17 | Side: SELL | Qty: 1 | POS: -14 -> -15 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24965.25 Ask: 24966.50 Last: 24966.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:46:17 | Side: SELL | Qty: 1 | POS: -15 -> -16 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24965.25 Ask: 24966.50 Last: 24966.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:46:58 | Side: SELL | Qty: 1 | POS: -16 -> -17 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24972.25 Ask: 24973.75 Last: 24973.75. Fill based on queue
[OVERLIMIT] 19:46:58 | Side: SELL | Qty: 1 | POS: -17 -> -18 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24972.25 Ask: 24973.75 Last: 24973.75. Fill based on queue
[OVERLIMIT] 19:48:59 | Side: SELL | Qty: 1 | POS: -18 -> -19 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24982.75 Ask: 24983.25 Last: 24983.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:48:59 | Side: SELL | Qty: 1 | POS: -19 -> -20 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24982.75 Ask: 24983.25 Last: 24983.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:54:06 | Side: SELL | Qty: 1 | POS: -20 -> -21 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.75 Ask: 24987.75 Last: 24986.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 19:54:06 | Side: SELL | Qty: 1 | POS: -21 -> -22 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24986.75 Ask: 24987.75 Last: 24986.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:05:02 | Side: SELL | Qty: 1 | POS: -22 -> -23 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24973.00 Ask: 24974.00 Last: 24972.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:05:02 | Side: SELL | Qty: 1 | POS: -23 -> -24 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24973.00 Ask: 24974.00 Last: 24972.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:06:16 | Side: SELL | Qty: 1 | POS: -24 -> -25 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24964.00 Ask: 24965.75 Last: 24964.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:06:16 | Side: SELL | Qty: 1 | POS: -25 -> -26 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24964.00 Ask: 24965.75 Last: 24964.25. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:06:35 | Side: SELL | Qty: 1 | POS: -26 -> -27 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24972.75 Ask: 24974.00 Last: 24972.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:06:35 | Side: SELL | Qty: 1 | POS: -27 -> -28 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24972.75 Ask: 24974.00 Last: 24972.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:12:02 | Side: SELL | Qty: 1 | POS: -28 -> -29 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24959.75 Ask: 24960.50 Last: 24960.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:12:02 | Side: SELL | Qty: 1 | POS: -29 -> -30 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24959.75 Ask: 24960.50 Last: 24960.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:13:43 | Side: SELL | Qty: 1 | POS: -30 -> -31 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24978.75 Ask: 24980.00 Last: 24980.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:13:43 | Side: SELL | Qty: 1 | POS: -31 -> -32 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24978.75 Ask: 24980.00 Last: 24980.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:40:47 | Side: SELL | Qty: 1 | POS: -32 -> -33 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24982.75 Ask: 24983.75 Last: 24983.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:40:47 | Side: SELL | Qty: 1 | POS: -33 -> -34 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24982.75 Ask: 24983.75 Last: 24983.75. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:47:10 | Side: SELL | Qty: 1 | POS: -34 -> -35 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24990.75 Ask: 24991.25 Last: 24991.00. Text: Tag: AT_NQ_TM
[OVERLIMIT] 20:47:10 | Side: SELL | Qty: 1 | POS: -35 -> -36 | Msg: Trading Evaluator (Filled). Info: Trade simulation fill. Bid: 24990.75 Ask: 24991.25 Last: 24991.00. Text: Tag: AT_NQ_TM
