2025-12-18  02:26:26.437612 | Pos | 3 | P=3 | ID= | 
2025-12-18  02:26:26.437618 | Fil | B3 | P=3 | ID=20091480 | AT_NQ_TM(D-R-2+last50)
2025-12-18  02:26:26.437821 | Pos |  | P=3 | ID= | 
2025-12-18  04:05:48.351861 | Pos |  | P=3 | ID= | 
2025-12-18  04:05:54.654217 | Pos |  | P=-2 | ID= | 
2025-12-18  04:05:56.979059 | Pos | 2 | P= | ID= | 
2025-12-18  04:05:56.979061 | Fil | B2 | P= | ID=20091637 | 
2025-12-18  04:05:56.979171 | Pos |  | P= | ID= | 
2025-12-18  04:06:04.652857 | Pos |  | P= | ID= | 
2025-12-18  04:18:31.102970 | Pos | 3 | P=-3 | ID= | 
2025-12-18  04:18:31.102976 | Fil | S3 | P=-3 | ID=20091769 | AT_NQ_TM(D-R-2+last50)
2025-12-18  04:18:31.103126 | Pos |  | P=-3 | ID= | 
2025-12-18  04:18:46.901210 | Pos | 3 | P= | ID= | 
2025-12-18  04:18:46.901215 | Fil | B3 | P= | ID=20091780 | AT_NQ_TM(D-R-2+last50)
2025-12-18  04:18:46.901427 | Pos |  | P= | ID= | 
2025-12-18  04:18:54.668799 | Pos |  | P= | ID= | 
2025-12-18  05:03:31.036990 | Pos | 3 | P= | ID= | 
2025-12-18  05:03:31.036995 | Fil | S3 | P= | ID=20092198 | AT_NQ_TM(D-R-2+last50)
2025-12-18  05:03:31.548545 | Pos |  | P= | ID= | 
2025-12-18  05:03:39.740007 | Pos |  | P= | ID= | 
2025-12-18  07:04:10.043628 | Pos | 3 | P=3 | ID= | 
2025-12-18  07:04:10.043634 | Fil | B3 | P=3 | ID=20093322 | AT_NQ_TM(D-R-2+last50)
2025-12-18  07:04:10.043909 | Pos |  | P=3 | ID= | 
2025-12-18  12:04:12.786633 | Pos | 1 | P=-1 | ID= | 
2025-12-18  12:04:12.786639 | Fil | B1 | P=-1 | ID=20107680 | AT_NQ_TM(D-R-2+last50)
2025-12-18  12:04:12.786806 | Pos |  | P=-1 | ID= | 
2025-12-18  13:03:18.564533 | Pos | 3 | P=-3 | ID= | 
2025-12-18  13:03:18.564541 | Fil | S3 | P=-3 | ID=20111318 | AT_NQ_TM(D-R-2+last50)
2025-12-18  13:03:18.564747 | Pos |  | P=-3 | ID= | 
