Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Note	Open Position Quantity	Close Position Quantity	Duration	Commission (C)	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Total Efficiency	Account	Highest Cumulative P/L (C)	Lowest Cumulative P/L (C)	Maximum Runup (C)	Maximum Drawdown (C)
NQH26 (TM_6)	Short	2026-02-25  08:16:02.483 BP	2026-02-25  08:55:28.819 EP	25143.25	25153.00	3	3	3	-597.60	-597.60	IPS(all)+TM(all+last50)	3	0	00:39:26	12.60	25153.00	25123.75	-0.7%	100.0%	-597.60 F	1170.00	-585.00	1170.00	-585.00	-34.1%	TM_6	0.00	-597.60	0.00	-597.60
NQH26	Long	2026-02-25  09:36:59.227 BP	2026-02-25  09:37:01.614 EP	25242.50	25242.00	3	3	3	-42.60	-640.20	IPS(all)+TM(all+last50)	3	0	00:00:02	12.60	25242.50	25242.00	-42.0%	100.0%	-42.60 F	0.00	-30.00	0.00	-30.00	-142.0%	TM_6	0.00	-640.20	0.00	-640.20
NQH26	Short	2026-02-25  09:38:33.943 BP	2026-02-25  09:39:44.841 EP	25223.25	25249.00	3	3	3	-1557.60	-2197.80	IPS(all)+TM(all+last50)	3	0	00:01:10	12.60	25249.00	25221.50	-0.8%	100.0%	-1557.60 F	105.00	-1545.00	105.00	-1545.00	-94.4%	TM_6	0.00	-2197.80	0.00	-2197.80
NQH26	Short	2026-02-25  09:42:57.222 BP	2026-02-25  09:43:15.580 EP	25246.25	25265.25	3	3	3	-1152.60	-3350.40	IPS(all)+TM(all+last50)	3	0	00:00:18	12.60	25265.25	25245.00	-1.0%	100.0%	-1152.60 F	75.00	-1140.00	75.00	-1140.00	-94.9%	TM_6	0.00	-3350.40	0.00	-3350.40
NQH26	Long	2026-02-25  09:48:57.315 BP	2026-02-25  09:51:12.994	25322.50	25333.00	1	3	1	205.80	-3144.60	IPS(all)+TM(all+last50)	3	2	00:02:15	4.20	25333.00	25315.50	98.8%	100.0%	205.80	210.00	-140.00	210.00	-140.00	58.8%	TM_6	0.00	-3350.40	205.80	-3350.40
NQH26	Long	2026-02-25  09:48:57.315	2026-02-25  09:51:25.178	25322.50	25343.75	1	3	2	420.80	-2723.80	IPS(all)+TM(all+last50)	3	1	00:02:27	4.20	25343.75	25315.50	76.6%	100.0%	626.60	635.00	-280.00	425.00	-140.00	46.0%	TM_6	0.00	-3350.40	626.60	-3350.40
NQH26	Long	2026-02-25  09:48:57.315	2026-02-25  09:51:44.849 EP	25322.50	25337.25	1	3	3	290.80	-2433.00	IPS(all)+TM(all+last50)	3	0	00:02:47	4.20	25348.50	25315.50	45.1%	100.0%	917.40 F	1155.00	-420.00	520.00	-140.00	18.5%	TM_6	0.00	-3350.40	917.40	-3350.40
NQH26	Short	2026-02-25  10:00:47.489 BP	2026-02-25  10:02:40.824	25347.50	25338.00	1	3	1	185.80	-2247.20	IPS(all)+TM(all+last50)	3	2	00:01:53	4.20	25355.75	25338.00	98.8%	100.0%	185.80	190.00	-165.00	190.00	-165.00	52.3%	TM_6	0.00	-3350.40	1103.20	-3350.40
NQH26	Short	2026-02-25  10:00:47.489	2026-02-25  10:06:51.394	25347.50	25328.50	1	3	2	375.80	-1871.40	IPS(all)+TM(all+last50)	3	1	00:06:03	4.20	25355.75	25328.50	78.4%	100.0%	561.60	570.00	-330.00	380.00	-165.00	41.8%	TM_6	0.00	-3350.40	1479.00	-3350.40
NQH26	Short	2026-02-25  10:00:47.489	2026-02-25  10:08:06.566 EP	25347.50	25317.25	1	3	3	600.80	-1270.60	IPS(all)+TM(all+last50)	3	0	00:07:19	4.20	25355.75	25309.25	59.9%	100.0%	1162.40 F	1335.00	-495.00	765.00	-165.00	32.8%	TM_6	0.00	-3350.40	2079.80	-3350.40
NQH26	Long	2026-02-25  10:12:36.972 BP	2026-02-25  10:13:04.367 EP	25316.50	25311.00	3	3	3	-342.60	-1613.20	IPS(all)+TM(all+last50)	3	0	00:00:27	12.60	25325.25	25311.00	-1.5%	100.0%	-342.60 F	525.00	-330.00	525.00	-330.00	-40.1%	TM_6	0.00	-3350.40	2079.80	-3350.40
NQH26	Short	2026-02-25  10:15:08.991 BP	2026-02-25  10:15:11.505 EP	25302.25	25306.50	3	3	3	-267.60	-1880.80	IPS(all)+TM(all+last50)	3	0	00:00:02	12.60	25306.50	25302.25	-4.9%	100.0%	-267.60 F	0.00	-255.00	0.00	-255.00	-104.9%	TM_6	0.00	-3350.40	2079.80	-3350.40
NQH26	Short	2026-02-25  10:21:15.175 BP	2026-02-25  10:22:29.752 EP	25288.25	25304.25	3	3	3	-972.60	-2853.40	IPS(all)+TM(all+last50)	3	0	00:01:14	12.60	25304.25	25282.75	-1.0%	100.0%	-972.60 F	330.00	-960.00	330.00	-960.00	-75.4%	TM_6	0.00	-3350.40	2079.80	-3350.40
NQH26	Long	2026-02-25  10:45:28.680 BP	2026-02-25  10:46:32.813	25303.50	25312.75	1	3	1	180.80	-2672.60	IPS(all)+TM(all+last50)	3	2	00:01:04	4.20	25312.75	25300.25	98.3%	100.0%	180.80	185.00	-65.00	185.00	-65.00	72.3%	TM_6	0.00	-3350.40	2079.80	-3350.40
NQH26	Long	2026-02-25  10:45:28.680	2026-02-25  10:47:26.379 EP	25303.50	25299.50	2	3	3	-168.40	-2841.00	IPS(all)+TM(all+last50)	3	0	00:01:57	8.40	25314.50	25299.50	6.7%	100.0%	12.40 F	625.00	-225.00	440.00	-160.00	-19.8%	TM_6	0.00	-3350.40	2079.80	-3350.40
NQH26	Long	2026-02-25  10:54:32.442 BP	2026-02-25  10:55:15.543 EP	25289.50	25276.00	3	3	3	-822.60	-3663.60	IPS(all)+TM(all+last50)	3	0	00:00:43	12.60	25290.00	25276.00	-1.5%	100.0%	-822.60 F	30.00	-810.00	30.00	-810.00	-97.9%	TM_6	0.00	-3663.60	2079.80	-3663.60
NQH26	Long	2026-02-25  11:06:35.035 BP	2026-02-25  11:17:11.872 EP	25300.75	25283.75	3	3	3	-1032.60	-4696.20	IPS(all)+TM(all+last50)	3	0	00:10:36	12.60	25305.75	25283.75	-1.0%	100.0%	-1032.60 F	300.00	-1020.00	300.00	-1020.00	-78.2%	TM_6	0.00	-4696.20	2079.80	-4696.20
NQH26	Long	2026-02-25  11:20:33.562 BP	2026-02-25  11:30:43.350	25296.50	25306.50	1	3	1	195.80	-4500.40	IPS(all)+TM(all+last50)	3	2	00:10:09	4.20	25306.50	25285.50	99.0%	100.0%	195.80	200.00	-220.00	200.00	-220.00	46.6%	TM_6	0.00	-4696.20	2079.80	-4696.20
NQH26	Long	2026-02-25  11:20:33.562	2026-02-25  11:40:01.273	25296.50	25316.50	1	3	2	395.80	-4104.60	IPS(all)+TM(all+last50)	3	1	00:19:27	4.20	25316.50	25285.50	80.4%	100.0%	591.60	600.00	-440.00	400.00	-220.00	38.1%	TM_6	0.00	-4696.20	2079.80	-4696.20
NQH26	Long	2026-02-25  11:20:33.562	2026-02-25  11:49:11.910 EP	25296.50	25320.00	1	3	3	465.80	-3638.80	IPS(all)+TM(all+last50)	3	0	00:28:38	4.20	25332.00	25285.50	57.1%	100.0%	1057.40 F	1310.00	-660.00	710.00	-220.00	23.6%	TM_6	0.00	-4696.20	2079.80	-4696.20
NQH26	Short	2026-02-25  11:55:18.785 BP	2026-02-25  12:05:58.278 EP	25318.50	25333.50	3	3	3	-912.60	-4551.40	IPS(all)+TM(all+last50)	3	0	00:10:39	12.60	25333.50	25313.75	-1.1%	100.0%	-912.60 F	285.00	-900.00	285.00	-900.00	-77.0%	TM_6	0.00	-4696.20	2079.80	-4696.20
NQH26	Long	2026-02-25  12:11:34.582 BP	2026-02-25  12:11:40.209 EP	25336.00	25332.75	3	3	3	-207.60	-4759.00	IPS(all)+TM(all+last50)	3	0	00:00:05	12.60	25336.00	25332.75	-6.5%	100.0%	-207.60 F	0.00	-195.00	0.00	-195.00	-106.5%	TM_6	0.00	-4759.00	2079.80	-4759.00
NQH26	Short	2026-02-25  12:20:06.281 BP	2026-02-25  12:22:30.410 EP	25333.25	25338.75	3	3	3	-342.60	-5101.60	IPS(all)+TM(all+last50)	3	0	00:02:24	12.60	25338.75	25330.75	-2.6%	100.0%	-342.60 F	150.00	-330.00	150.00	-330.00	-71.4%	TM_6	0.00	-5101.60	2079.80	-5101.60
NQH26	Long	2026-02-25  15:23:29.536 BP	2026-02-25  15:27:58.195	25363.25	25370.50	1	3	1	140.80	-4960.80	IPS(all)+TM(all+last50)	3	2	00:04:28	4.20	25370.50	25362.00	97.5%	100.0%	140.80	145.00	-25.00	145.00	-25.00	82.8%	TM_6	0.00	-5101.60	2079.80	-5101.60
NQH26	Long	2026-02-25  15:23:29.536	2026-02-25  15:30:04.906 EP	25363.25	25359.50	2	3	3	-158.40	-5119.20	IPS(all)+TM(all+last50)	3	0	00:06:35	8.40	25374.00	25359.50	2.2%	100.0%	-17.60 F	575.00	-175.00	430.00	-150.00	-21.1%	TM_6	0.00	-5119.20	2079.80	-5119.20
NQH26	Short	2026-02-25  15:38:31.496 BP	2026-02-25  15:39:07.627 EP	25367.00	25369.50	3	3	3	-162.60	-5281.80	IPS(all)+TM(all+last50)	3	0	00:00:36	12.60	25369.50	25366.25	-6.5%	100.0%	-162.60 F	45.00	-150.00	45.00	-150.00	-83.4%	TM_6	0.00	-5281.80	2079.80	-5281.80
NQH26	Short	2026-02-25  15:39:10.148 BP	2026-02-25  15:39:19.825 EP	25369.75	25371.75	3	3	3	-132.60	-5414.40	IPS(all)+TM(all+last50)	3	0	00:00:09	12.60	25371.75	25369.75	-10.5%	100.0%	-132.60 F	0.00	-120.00	0.00	-120.00	-110.5%	TM_6	0.00	-5414.40	2079.80	-5414.40
NQH26	Short	2026-02-25  15:50:00.552 BP	2026-02-25  15:50:01.058 EP	25380.25	25380.00	3	3	3	2.40	-5412.00	IPS(all)+TM(all+last50)	3	0	00:00:00	12.60	25380.25	25380.00	16.0%	100.0%	2.40 F	15.00	0.00	15.00	0.00	16.0%	TM_6	0.00	-5414.40	2079.80	-5414.40
NQH26	Short	2026-02-25  16:04:48.722 BP	2026-02-25  16:05:34.503 EP	25383.75	25391.50	3	3	3	-477.60	-5889.60	IPS(all)+TM(all+last50)	3	0	00:00:45	12.60	25391.50	25381.00	-2.0%	100.0%	-477.60 F	165.00	-465.00	165.00	-465.00	-75.8%	TM_6	0.00	-5889.60	2079.80	-5889.60
NQH26	Long	2026-02-25  16:32:49.255 BP	2026-02-25  16:32:54.264 EP	25429.00	25423.50	3	3	3	-342.60	-6232.20	IPS(all)+TM(all+last50)	3	0	00:00:05	12.60	25430.50	25423.50	-3.0%	100.0%	-342.60 F	90.00	-330.00	90.00	-330.00	-81.6%	TM_6	0.00	-6232.20	2079.80	-6232.20
NQH26	Long	2026-02-25  16:51:28.168 BP	2026-02-25  16:59:00.319 EP	25456.50	25458.75	3	3	3	122.40	-6109.80	IPS(all)+TM(all+last50)	3	0	00:07:32	12.60	25471.50	25439.50	59.5%	100.0%	122.40 F	900.00	-1020.00	900.00	-1020.00	6.4%	TM_6	0.00	-6232.20	2079.80	-6232.20
NQH26	Short	2026-02-26  03:33:35.344 BP	2026-02-26  04:38:54.806 EP	25356.00	25389.50	3	3	3	-2022.60	-8132.40	IPS(all)+TM(all+last50)	3	0	01:05:19	12.60	25391.50	25343.25	3.7%	100.0%	-2022.60 F	765.00	-2130.00	765.00	-2130.00	-69.9%	TM_6	0.00	-8132.40	2079.80	-8132.40
NQH26	Short	2026-02-26  05:37:49.237 BP	2026-02-26  08:33:37.417 EP	25358.50	25401.00	3	3	3	-2562.60	-10695.00	IPS(all)+TM(all+last50)	3	0	02:55:48	12.60	25401.00	25345.25	-0.4%	100.0%	-2562.60 F	795.00	-2550.00	795.00	-2550.00	-76.6%	TM_6	0.00	-10695.00	2079.80	-10695.00
NQH26	Long	2026-02-26  09:31:27.373 BP	2026-02-26  09:31:35.296	25309.25	25327.00	1	3	1	350.80	-10344.20	IPS(all)+TM(all+last50)	3	2	00:00:07	4.20	25327.00	25309.00	98.8%	100.0%	350.80	355.00	-5.00	355.00	-5.00	97.4%	TM_6	0.00	-10695.00	2079.80	-10695.00
NQH26	Long	2026-02-26  09:31:27.373	2026-02-26  09:33:30.684 EP	25309.25	25279.75	2	3	3	-1188.40	-11532.60	IPS(all)+TM(all+last50)	3	0	00:02:03	8.40	25336.00	25279.75	-0.1%	100.0%	-837.60 F	1425.00	-1185.00	1070.00	-1180.00	-45.5%	TM_6	0.00	-11532.60	2079.80	-11532.60
NQH26	Long	2026-02-26  09:37:06.480 BP	2026-02-26  09:37:52.631	25242.50	25257.50	1	3	1	295.80	-11236.80	IPS(all)+TM(all+last50)	3	2	00:00:46	4.20	25257.50	25232.25	99.2%	100.0%	295.80	300.00	-205.00	300.00	-205.00	58.6%	TM_6	0.00	-11532.60	2079.80	-11532.60
NQH26	Long	2026-02-26  09:37:06.480	2026-02-26  09:38:05.791	25242.50	25272.75	1	3	2	600.80	-10636.00	IPS(all)+TM(all+last50)	3	1	00:00:59	4.20	25272.75	25232.25	76.9%	100.0%	896.60	905.00	-410.00	605.00	-205.00	45.7%	TM_6	0.00	-11532.60	2079.80	-11532.60
