"NQ GFRE COMPARISON REPORT | IPS_TM_7 | Jun 10 - Jul 23, 2026"
Date,Dirty_Raw_Fills,Dirty_Trades,Dirty_Wins,Dirty_Losses,Dirty_Net_PnL,Dirty_Win_Rate%,Dirty_MaxDD,GFRE_Ghosts_Dropped,GFRE_Clean_Fills,GFRE_Trades,GFRE_Wins,GFRE_Losses,GFRE_Net_PnL,GFRE_Win_Rate%,GFRE_MaxDD,PnL_Delta,Direction_Flips_Clean,Integrity_OK
2026-06-23,68,42,33,9,3810.0,78.6%,3820.0,1,67,39,19,20,-6810.0,48.7%,13435.0,-10620.0,0,True
2026-06-24,113,63,36,27,-3255.0,57.1%,29730.0,0,113,63,36,27,-3255.0,57.1%,29730.0,0.0,0,True
2026-06-25,115,69,46,23,-2440.0,66.7%,10880.0,3,112,63,34,29,3595.0,54.0%,11395.0,6035.0,0,True
2026-06-26,105,65,50,15,13100.0,76.9%,4265.0,2,103,59,34,25,3365.0,57.6%,11945.0,-9735.0,0,True
2026-06-28,4,2,0,2,-3570.0,0.0%,3570.0,0,4,2,0,2,-3570.0,0.0%,3570.0,0.0,0,True
2026-06-29,83,49,30,19,-1950.0,61.2%,5465.0,2,81,47,31,16,31150.0,66.0%,5395.0,33100.0,0,True
2026-06-30,21,13,10,3,6955.0,76.9%,1580.0,0,21,13,10,3,6955.0,76.9%,1580.0,0.0,0,True
2026-07-01,75,46,34,12,4795.0,73.9%,3485.0,1,74,44,27,17,7435.0,61.4%,6990.0,2640.0,0,True
2026-07-02,108,65,44,21,-4960.0,67.7%,12730.0,1,107,63,29,34,-40795.0,46.0%,45945.0,-35835.0,0,True
2026-07-03,10,5,2,3,-2800.0,40.0%,3570.0,0,10,5,2,3,-2800.0,40.0%,3570.0,0.0,0,True
2026-07-05,7,4,2,2,1220.0,50.0%,300.0,3,4,0,0,0,0,N/A,0.0,-1220.0,0,True
2026-07-06,93,51,33,18,10760.0,64.7%,8075.0,0,93,51,33,18,10760.0,64.7%,8075.0,0.0,0,True
2026-07-07,90,52,28,24,-8560.0,53.8%,9775.0,1,89,51,27,24,-5930.0,52.9%,10680.0,2630.0,0,True
2026-07-08,96,59,44,15,4240.0,74.6%,4445.0,3,93,55,43,12,13425.0,78.2%,16610.0,9185.0,0,True
2026-07-09,50,29,16,13,-5655.0,55.2%,8680.0,3,47,25,9,16,-22535.0,36.0%,26035.0,-16880.0,0,True
2026-07-10,68,42,32,10,4275.0,76.2%,2280.0,1,67,38,26,12,9585.0,68.4%,4220.0,5310.0,0,True
2026-07-12,5,3,2,1,5.0,66.7%,540.0,0,5,3,2,1,5.0,66.7%,540.0,0.0,0,True
2026-07-13,95,57,38,19,-1145.0,66.7%,5320.0,3,92,52,20,32,-16350.0,38.5%,17325.0,-15205.0,0,True
2026-07-14,64,39,28,11,3010.0,71.8%,7590.0,3,61,36,27,9,3200.0,75.0%,7590.0,190.0,0,True
2026-07-15,84,48,27,21,-8110.0,56.2%,8110.0,4,80,46,21,25,-820.0,45.7%,13135.0,7290.0,0,True
2026-07-16,78,49,40,9,10265.0,81.6%,3670.0,0,78,49,40,9,10265.0,81.6%,3670.0,0.0,0,True
2026-07-17,77,46,30,16,-1190.0,65.2%,6265.0,2,75,45,30,15,-800.0,66.7%,6265.0,390.0,0,True

TOTAL,,898,605,293,18800.0,67.4%,38970.0,,,849,500,349,-3925.0,58.9%,65885.0,-22725.0,,
