date,dirty_trades,dirty_net,dirty_wr,ghosts_v2,clean_trades,clean_net,clean_wr,delta
2026-06-23,42,3810.0,78.6,0,42,3810.0,78.6,0.0
2026-06-24,63,-3255.0,57.1,0,63,-3255.0,57.1,0.0
2026-06-25,69,-2440.0,66.7,0,69,-2440.0,66.7,0.0
2026-06-26,65,13100.0,76.9,0,65,13100.0,76.9,0.0
2026-06-28,2,-3570.0,0.0,0,2,-3570.0,0.0,0.0
2026-06-29,49,-1950.0,61.2,0,49,-1950.0,61.2,0.0
2026-06-30,13,6955.0,76.9,0,13,6955.0,76.9,0.0
2026-07-01,46,4795.0,73.9,1,44,7435.0,61.4,2640.0
2026-07-02,65,-4960.0,67.7,0,65,-4960.0,67.7,0.0
2026-07-03,5,-2800.0,40.0,0,5,-2800.0,40.0,0.0
2026-07-05,4,1220.0,50.0,0,4,1220.0,50.0,0.0
2026-07-06,51,10760.0,64.7,0,51,10760.0,64.7,0.0
2026-07-07,52,-8560.0,53.8,0,52,-8560.0,53.8,0.0
2026-07-08,59,4240.0,74.6,1,56,7995.0,75.0,3755.0
2026-07-09,29,-5655.0,55.2,1,27,-13205.0,40.7,-7550.0
2026-07-10,42,4275.0,76.2,0,42,4275.0,76.2,0.0
2026-07-12,3,5.0,66.7,0,3,5.0,66.7,0.0
2026-07-13,57,-1145.0,66.7,1,55,1395.0,63.6,2540.0
2026-07-14,39,3010.0,71.8,2,36,3200.0,75.0,190.0
2026-07-15,48,-8110.0,56.2,0,48,-8110.0,56.2,0.0
2026-07-16,49,10265.0,81.6,0,49,10265.0,81.6,0.0
2026-07-17,46,-1190.0,65.2,0,46,-1190.0,65.2,0.0
