account,days,total_raw_fills,total_ghosts,ghost_rate_pct,bypass_days,dirty_net,clean_net,pnl_delta,flagged_days,flag_rate_pct
TS_5,508,94332,676,0.717,2,81151121692.79,-22949058621.74,-104100180314.54,142,28.0
TS_6,509,88159,621,0.704,1,87682272735.53,14224008569.24,-73458264166.29,144,28.3
IPS_TM_11,552,72101,931,1.291,2,-7883066323.3,61271392669.07,69154458992.37,167,30.3
TM_2,565,145653,52206,35.843,560,3445578827.68,-29849274906.76,-33294853734.44,516,91.3
TS_4,275,27506,137,0.498,0,17006968809.19,2668545803.97,-14338423005.23,28,10.2
TM_7,623,55025,125,0.227,0,20461184419.53,10537446390.63,-9923738028.9,24,3.9
IPS_TM_7,552,38318,290,0.757,1,-347052706.79,6378219924.42,6725272631.22,93,16.8
IPS_TM_10,633,56613,166,0.293,3,4869046318.32,10025723758.82,5156677440.5,29,4.6
PB_2,272,36755,150,0.408,1,305517657.88,4611328408.71,4305810750.83,20,7.4
IPS_TM_8,612,97022,267,0.275,2,7676402826.77,11942271424.81,4265868598.04,22,3.6
TM_1,343,19164,6626,34.575,314,132419427.07,-3875413264.79,-4007832691.86,301,87.8
TM_10,634,64854,25182,38.829,634,2268776608.88,-926304272.3,-3195080881.18,598,94.3
TS_2,591,18340,103,0.562,0,4783632573.31,2668985983.92,-2114646589.39,29,4.9
TM_5,325,76190,159,0.209,3,2970594466.21,1213612654.85,-1756981811.35,22,6.8
IPS_TM_3,655,25271,79,0.313,1,-960995503.12,377409944.42,1338405447.54,24,3.7
TM_3,649,24490,72,0.294,1,-877017512.73,412759866.8,1289777379.53,22,3.4
PB_1,567,46292,79,0.171,2,535058316.33,-709339099.73,-1244397416.07,11,1.9
TM_8,329,71958,522,0.725,4,2129072558.34,3116478442.1,987405883.76,41,12.5
Tsufim-Prod,538,18065,4915,27.207,242,203966581.69,-706444324.71,-910410906.4,445,82.7
TS_3,465,24756,377,1.523,2,1453363468.94,713941780.67,-739421688.27,185,39.8
IPS_TM_5,320,56336,45,0.08,1,3146866204.23,2416626715.24,-730239488.99,11,3.4
IPS_TM_13,602,8708,17,0.195,2,305826052.96,-404183010.88,-710009063.84,10,1.7
TM_6,651,24593,51,0.207,4,-1473414000.42,-965754811.16,507659189.26,20,3.1
IPS_TM_5dupli,636,54129,64,0.118,3,3712473414.66,3449477308.76,-262996105.9,13,2.0
TM_9,527,21511,8848,41.132,527,167153282.04,393405173.93,226251891.89,480,91.1
IPSPB1,545,6449,10,0.155,3,284823004.18,64807497.36,-220015506.82,6,1.1
TS_7,390,3760,24,0.638,1,-350505455.63,-145606126.03,204899329.59,12,3.1
IPS_TM_12,616,13315,51,0.383,4,498085165.67,695358323.7,197273158.03,21,3.4
Depth,35,3131,1428,45.608,35,17156454.6,-173820448.62,-190976903.22,33,94.3
IPS_TM_6,656,25098,28,0.112,4,-849109498.07,-694983257.9,154126240.17,8,1.2
T-S_production,654,59329,2659,4.482,2,-320456323.51,-438952625.06,-118496301.55,352,53.8
IPSTMUD1,573,11559,6,0.052,0,51085377.46,-1473793.97,-52559171.43,2,0.3
V500_sim10,130,45443,788,1.734,71,-507133.0,37123417.4,37630550.4,86,66.2
ES-TM_2,598,50533,18695,36.996,598,-737625.0,3337162.5,4074787.5,566,94.6
ES-TM_9,571,16190,6322,39.049,571,-83427.5,3310855.0,3394282.5,534,93.5
ES-TM_10,586,50736,18912,37.275,586,-641112.5,2314100.0,2955212.5,553,94.4
V_sim16,370,61149,561,0.917,1,-452243.0,-1849878.0,-1397635.0,198,53.5
