account,date,total_raw_fills,ghost_fills_dropped,bypass_mode_active,note_coverage_rate,dirty_trades,dirty_net,dirty_wins,clean_trades,clean_net,clean_wins,pnl_delta,pnl_delta_pct,flagged_for_review,flag_reason
T-S_production,2023-09-04,11,0,0,0.727,5,-930.0,1,5,-930.0,1,0.0,0.0,0,
T-S_production,2023-09-05,28,0,0,0.714,14,617220.0,9,14,617220.0,9,0.0,0.0,0,
T-S_production,2023-09-06,74,0,0,0.838,40,-29934918.4,16,40,-29934918.4,16,0.0,0.0,0,
T-S_production,2023-09-07,84,0,0,0.821,46,1295.0,22,46,1295.0,22,0.0,0.0,0,
T-S_production,2023-09-08,56,0,0,0.786,28,-7690.0,8,28,-7690.0,8,0.0,0.0,0,
T-S_production,2023-09-11,19,0,0,0.737,10,-10.0,3,10,-10.0,3,0.0,0.0,0,
T-S_production,2023-09-12,26,0,0,0.808,15,2250.0,10,15,2250.0,10,0.0,0.0,0,
T-S_production,2023-09-13,88,0,0,0.795,47,-30161752.8,21,47,-30161752.8,21,0.0,0.0,0,
T-S_production,2023-09-14,96,0,0,0.812,51,-623458.4,19,51,-623458.4,19,0.0,0.0,0,
T-S_production,2023-09-15,83,0,0,0.795,44,-1660.0,18,44,-1660.0,18,0.0,0.0,0,
T-S_production,2023-09-18,38,0,0,0.711,20,-29980540.2,7,20,-29980540.2,7,0.0,0.0,0,
T-S_production,2023-09-19,60,0,0,0.85,33,-335.2,15,33,-335.2,15,0.0,0.0,0,
T-S_production,2023-09-20,78,0,0,0.846,42,29811418.4,18,42,29811418.4,18,0.0,0.0,0,
T-S_production,2023-09-21,92,0,0,0.815,49,58283007.61,15,49,58283007.61,15,0.0,0.0,0,
T-S_production,2023-09-22,100,0,0,0.85,55,29017268.2,21,55,29017268.2,21,0.0,0.0,0,
T-S_production,2023-09-25,59,0,0,0.814,31,29027580.2,10,31,29027580.2,10,0.0,0.0,0,
T-S_production,2023-09-26,95,0,0,0.779,49,-2585.0,16,49,-2585.0,16,0.0,0.0,0,
T-S_production,2023-09-27,73,0,0,0.822,39,-28622975.8,15,39,-28622975.8,15,0.0,0.0,0,
T-S_production,2023-09-28,99,0,0,0.778,50,58150577.81,23,50,58150577.81,23,0.0,0.0,0,
T-S_production,2023-09-29,98,0,0,0.827,52,-1020.0,18,52,-1020.0,18,0.0,0.0,0,
T-S_production,2023-10-02,80,0,0,0.775,43,29051865.6,18,43,29051865.6,18,0.0,0.0,0,
T-S_production,2023-10-03,85,0,0,0.8,45,18655.0,18,45,18655.0,18,0.0,0.0,0,
T-S_production,2023-10-04,90,0,0,0.878,51,4145.0,27,51,4145.0,27,0.0,0.0,0,
T-S_production,2023-10-05,76,0,0,0.776,40,29141409.6,16,40,29141409.6,16,0.0,0.0,0,
T-S_production,2023-10-06,88,0,0,0.886,50,-29452502.0,27,50,-29452502.0,27,0.0,0.0,0,
T-S_production,2023-10-09,55,0,0,0.836,30,30715.0,15,30,30715.0,15,0.0,0.0,0,
T-S_production,2023-10-10,45,0,0,0.756,23,-29779274.6,8,23,-29779274.6,8,0.0,0.0,0,
T-S_production,2023-10-11,52,0,0,0.75,27,-2070.0,9,27,-2070.0,9,0.0,0.0,0,
T-S_production,2023-10-13,82,0,0,0.854,44,-29446867.2,19,44,-29446867.2,19,0.0,0.0,0,
T-S_production,2023-10-16,52,0,0,0.827,29,-245546.4,17,29,-245546.4,17,0.0,0.0,0,
T-S_production,2023-10-17,94,0,0,0.809,51,-1140.0,17,51,-1140.0,17,0.0,0.0,0,
T-S_production,2023-10-18,55,0,0,0.855,32,29368587.0,20,32,29368587.0,20,0.0,0.0,0,
T-S_production,2023-10-19,79,0,0,0.835,42,-2870.0,11,42,-2870.0,11,0.0,0.0,0,
T-S_production,2023-10-20,59,0,0,0.763,31,-615.6,10,31,-615.6,10,0.0,0.0,0,
T-S_production,2023-10-23,95,0,0,0.779,49,28795507.6,14,49,28795507.6,14,0.0,0.0,0,
T-S_production,2023-10-24,80,0,0,0.8,42,-54618.8,18,42,-54618.8,18,0.0,0.0,0,
T-S_production,2023-10-25,78,0,0,0.782,41,-2310.0,12,41,-2310.0,12,0.0,0.0,0,
T-S_production,2023-10-26,129,0,0,0.814,68,-56008742.61,22,68,-56008742.61,22,0.0,0.0,0,
T-S_production,2023-10-27,126,0,0,0.833,68,-2395.0,25,68,-2395.0,25,0.0,0.0,0,
T-S_production,2023-11-01,68,0,0,0.809,37,28528707.2,19,37,28528707.2,19,0.0,0.0,0,
