Database_Source,Account_Name,Symbol,Trade_ID,Entry_Time_NY,Exit_Time_NY,Side,Entry_Price,Exit_Price,Quantity,Profit_Loss_USD,Duration_Minutes,Hour_of_Day_NY,Day_of_Week
Clean_DB (processed_trades),TM_10,CLJ25,T7b4e37298fb9,2025-03-09T22:06:10.833900,2025-03-09T22:06:12.330908,SHORT,66.89999850466847,66.89999850466847,6,0.0,0,18,6
Clean_DB (processed_trades),TM_9,CLJ25,T1e9223b9ec42,2025-03-09T22:06:10.740802,2025-03-09T22:06:12.330659,SHORT,66.89999850466847,66.89999850466847,6,0.0,0,18,6
Clean_DB (processed_trades),TM_10,CLN24,T320b41c235de,2024-05-28T16:50:05.369126,2024-05-28T16:50:05.855523,SHORT,79.8599982149899,79.87999821454287,6,-120.0,0,12,1
Clean_DB (processed_trades),TM_10,CLN24,Te5e5831e5d06,2024-05-29T14:03:38.959767,2024-05-29T14:03:39.398162,LONG,79.8599982149899,79.86999821476638,6,60.0,0,10,2
Clean_DB (processed_trades),TM_10,CLN24,T95655fc0c36a,2024-05-29T15:24:00.323750,2024-05-29T15:24:00.782423,LONG,79.49999822303653,79.47999822348356,6,-120.0,0,11,2
Clean_DB (processed_trades),TM_10,CLN24,Tde38528b61b0,2024-05-29T20:38:44.708797,2024-05-29T20:38:45.207125,LONG,79.3999982252717,79.37999822571874,6,-120.0,0,16,2
Clean_DB (processed_trades),TM_10,CLN24,T15b1c4d44ec5,2024-05-31T16:05:08.458940,2024-05-31T16:05:08.921200,LONG,77.18999827466905,77.17999827489257,6,-60.0,0,12,4
Clean_DB (processed_trades),TM_10,CLN24,T7f2d08d35d55,2024-06-03T16:10:36.201579,2024-06-03T16:10:36.442690,LONG,74.49999833479524,74.48999833501875,6,-60.0,0,12,0
Clean_DB (processed_trades),TM_10,CLN24,Te49370f75f9e,2024-06-04T07:08:32.567948,2024-06-04T07:08:33.128485,LONG,73.14999836497009,73.1399983651936,6,-60.0,0,3,1
Clean_DB (processed_trades),TM_10,CLN24,T9ed2c0bd39e4,2024-06-04T14:14:26.637369,2024-06-04T14:14:27.197997,LONG,73.09999836608768,73.09999836608768,6,0.0,0,10,1
Clean_DB (processed_trades),TM_9,CLN24,T33409c00ee03,2024-06-03T16:10:36.201711,2024-06-03T16:10:36.512788,LONG,74.49999833479524,74.48999833501875,6,-60.0,0,12,0
Clean_DB (processed_trades),TM_9,CLN24,T1003bcca8191,2024-06-04T14:35:45.091912,2024-06-04T14:35:45.483524,SHORT,72.93999836966395,72.95999836921692,6,-120.0,0,10,1
Clean_DB (processed_trades),TM_10,CLN25,Tf87995ad7fdf,2025-06-13T02:27:46.200028,2025-06-13T02:27:48.370219,LONG,74.90999832563102,74.87999832630157,6,-180.0,0,22,3
Clean_DB (processed_trades),ES-TM_10,ESH25,T935f495b22e8,2025-03-04T21:19:22.712164,2025-03-04T21:19:24.354570,SHORT,5816.5,5816.25,6,75.0,0,16,1
Clean_DB (processed_trades),ES-TM_10,ESM24,Tabed54d77af7,2024-05-31T20:56:13.437234,2024-05-31T20:56:13.843567,SHORT,5299.25,5299.5,6,-75.0,0,16,4
Clean_DB (processed_trades),ES-TM_10,ESM24,T290e3e4feecc,2024-06-05T15:01:21.987329,2024-06-05T15:01:22.525065,LONG,5331.75,5331.75,5,0.0,0,11,2
Clean_DB (processed_trades),ES-TM_10,ESM24,T4f91b41fec3e,2024-06-14T16:19:12.290288,2024-06-14T16:53:37.942959,LONG,5422.75,5426.75,6,1200.0,34,12,4
Clean_DB (processed_trades),ES-TM_10,ESM25,T68af99d6ae96,2025-04-06T22:02:33.459719,2025-04-07T00:20:00.396003,LONG,4886.5,4912.25,6,7725.0,137,18,6
Clean_DB (processed_trades),ES-TM_10,ESM25,Tddb40df83e9a,2025-04-07T18:23:34.333755,2025-04-07T18:23:38.820564,LONG,5134.75,5136.75,6,600.0,0,14,0
Clean_DB (processed_trades),ES-TM_10,ESM25,Te6f05932e9f4,2025-04-07T19:27:26.322622,2025-04-07T19:27:28.457063,LONG,5061.0,5063.75,6,825.0,0,15,0
Clean_DB (processed_trades),ES-TM_5,ESM25,T05d717282a61,2025-04-09T09:47:44.794463,2025-04-09T09:48:12.441386,LONG,5007.5,5003.5,5,-1000.0,0,5,2
Clean_DB (processed_trades),ES-TM_8,ESM25,T8de4d9f75236,2025-04-09T09:47:44.795296,2025-04-09T09:48:12.590224,LONG,5007.5,5003.5,5,-1000.0,0,5,2
Clean_DB (processed_trades),ES-TM_10,ESU24,T47c57f8e48d5,2024-06-26T14:28:24.656062,2024-06-26T14:28:25.161849,SHORT,5526.5,5526.75,6,-75.0,0,10,2
Clean_DB (processed_trades),ES-TM_10,ESU24,Te2083db476fe,2024-07-25T17:51:19.850502,2024-07-25T17:51:46.337389,SHORT,5501.5,5503.75,6,-675.0,0,13,3
Clean_DB (processed_trades),ES-TM_10,ESU24,T3a29f0828508,2024-07-25T17:58:33.940803,2024-07-25T17:58:34.442979,SHORT,5506.25,5506.25,6,0.0,0,13,3
Clean_DB (processed_trades),ES-TM_10,ESU24,T8768142973f9,2024-07-25T18:06:03.219148,2024-07-25T18:11:02.690314,LONG,5497.0,5489.5,6,-2250.0,4,14,3
Clean_DB (processed_trades),ES-TM_9,ESU24,T9618e71a3214,2024-08-05T19:50:35.165414,2024-08-05T19:53:27.884254,LONG,5204.25,5198.75,6,-1650.0,2,15,0
Clean_DB (processed_trades),ES-TM_9,ESU24,T5a2efbeabb31,2024-08-05T20:10:19.554529,2024-08-05T20:10:20.110338,SHORT,5240.25,5241.0,6,-225.0,0,16,0
Clean_DB (processed_trades),ES-TM_9,ESU24,T093e9e1e8d77,2024-08-05T20:21:51.887509,2024-08-05T20:58:59.433326,LONG,5237.5,5246.25,4,1750.0,37,16,0
Clean_DB (processed_trades),TSUFIM-PROD,FDAXH25,Taecb2f96fd1e,2025-03-10T14:11:18.882348,2025-03-10T14:11:20.402133,LONG,22773.0,22773.0,4,0.0,0,10,0
Clean_DB (processed_trades),TM_10,FDAXM24,T15bfe47fd852,2024-05-31T15:49:34.918508,2024-05-31T15:49:35.340167,LONG,18548.0,18547.0,6,-150.0,0,11,4
Clean_DB (processed_trades),TM_10,FDAXM24,Tdb97b267e986,2024-06-03T10:03:48.163727,2024-06-03T10:03:48.561601,LONG,18698.0,18696.0,6,-300.0,0,6,0
Clean_DB (processed_trades),TM_10,FDAXM24,T060037359ceb,2024-06-03T11:06:05.823141,2024-06-03T11:06:06.332475,SHORT,18682.0,18684.0,6,-300.0,0,7,0
Clean_DB (processed_trades),TM_10,FDAXM24,T454f072b89d6,2024-06-03T14:15:25.844142,2024-06-03T14:15:26.312821,SHORT,18692.0,18694.0,6,-300.0,0,10,0
Clean_DB (processed_trades),TM_10,FDAXM24,T4c3cbe2dd700,2024-06-03T15:24:41.011853,2024-06-03T15:24:41.409068,LONG,18654.0,18653.0,6,-150.0,0,11,0
Clean_DB (processed_trades),TM_10,FDAXM24,T843b31e97a1f,2024-06-03T15:56:04.088274,2024-06-03T15:56:04.651518,SHORT,18631.0,18631.0,6,0.0,0,11,0
Clean_DB (processed_trades),TM_10,FDAXM24,T5346c2b09948,2024-06-04T11:16:49.856918,2024-06-04T11:16:50.436814,LONG,18472.0,18470.0,6,-300.0,0,7,1
Clean_DB (processed_trades),TM_10,FDAXM24,T46fba9bf3ff6,2024-06-04T16:14:05.092929,2024-06-04T16:14:05.454411,SHORT,18433.0,18435.0,6,-300.0,0,12,1
Clean_DB (processed_trades),TM_10,FDAXM24,T71ba44940cfd,2024-06-07T13:16:58.507798,2024-06-07T13:16:58.851802,LONG,18544.0,18543.0,6,-150.0,0,9,4
Clean_DB (processed_trades),TM_10,FDAXM24,Tfef33c0989a6,2024-06-07T13:32:00.132058,2024-06-07T13:32:00.632241,SHORT,18524.0,18527.0,6,-450.0,0,9,4
Clean_DB (processed_trades),TM_9,FDAXM24,T54baa2e0bfd3,2024-05-31T17:31:41.369234,2024-05-31T17:31:41.925227,LONG,18554.0,18552.0,6,-300.0,0,13,4
Clean_DB (processed_trades),TM_9,FDAXM24,T134d4c22c49d,2024-05-31T19:57:58.179094,2024-05-31T19:57:58.586819,LONG,18637.0,18631.0,6,-900.0,0,15,4
Clean_DB (processed_trades),TM_9,FDAXM24,T3f1152771332,2024-06-03T14:15:00.240775,2024-06-03T14:15:00.901393,SHORT,18691.0,18693.0,6,-300.0,0,10,0
Clean_DB (processed_trades),TM_9,FDAXM24,Tb6c8b640c593,2024-06-03T15:56:11.459393,2024-06-03T15:56:11.977934,SHORT,18628.0,18630.0,6,-300.0,0,11,0
Clean_DB (processed_trades),TM_9,FDAXM24,T74b6997b2cf8,2024-06-04T13:15:00.499120,2024-06-04T13:15:01.003384,LONG,18537.0,18543.0,6,900.0,0,9,1
Clean_DB (processed_trades),TM_9,FDAXM24,T96fbb82955e5,2024-06-04T16:40:26.900453,2024-06-04T16:40:27.288532,LONG,18458.0,18456.0,6,-300.0,0,12,1
Clean_DB (processed_trades),TM_9,FDAXM24,Tc8d19346ee59,2024-06-07T13:24:25.335548,2024-06-07T13:24:37.838456,LONG,18528.0,18526.0,6,-300.0,0,9,4
Clean_DB (processed_trades),TM_9,FDAXM24,Te05dac25475b,2024-06-07T13:24:38.346492,2024-06-07T13:37:50.138623,LONG,18528.0,18511.0,4,-1700.0,13,9,4
Clean_DB (processed_trades),TM_9,FDAXM25,Tf35d65690a02,2025-04-04T11:17:26.242060,2025-04-04T11:17:28.369774,LONG,20884.0,20877.0,6,-1050.0,0,7,4
Clean_DB (processed_trades),TM_9,FDAXM25,T4db7f4f90630,2025-04-04T12:02:10.953733,2025-04-04T12:02:12.428313,LONG,20833.0,20823.0,6,-1500.0,0,8,4
Clean_DB (processed_trades),TM_9,FDAXM25,Ta36d72034a89,2025-04-04T12:05:15.550601,2025-04-04T12:05:17.497686,LONG,20922.0,20913.0,6,-1350.0,0,8,4
Clean_DB (processed_trades),TM_10,FDAXU24,T37dbf31b940b,2024-06-18T14:40:19.076413,2024-06-18T14:48:40.565175,SHORT,18319.0,18338.0,6,-2850.0,8,10,1
Clean_DB (processed_trades),TM_10,FDAXU24,T7c30e00b481e,2024-07-24T17:24:27.358146,2024-07-25T13:05:57.481754,LONG,18513.0,18305.0,4,-20800.0,1181,13,2
Clean_DB (processed_trades),TM_10,FDAXU24,Td3bc6d2b463e,2024-08-06T12:06:11.557033,2024-08-06T12:08:33.166219,SHORT,17407.0,17412.0,6,-750.0,2,8,1
Clean_DB (processed_trades),TM_10,FDAXU24,Taebb352fa44f,2024-08-06T12:25:26.241416,2024-08-06T12:32:42.420100,LONG,17425.0,17392.0,6,-4950.0,7,8,1
Clean_DB (processed_trades),TM_10,FDAXU24,T6d5cea3ffe6e,2024-08-06T13:31:03.471956,2024-08-06T13:32:53.458232,LONG,17344.0,17322.0,6,-3300.0,1,9,1
Clean_DB (processed_trades),TM_10,FDAXU24,T4f3c0674f4a7,2024-08-06T13:54:05.734766,2024-08-06T13:54:06.143282,LONG,17388.0,17385.0,6,-450.0,0,9,1
Clean_DB (processed_trades),TM_10,FDAXU24,T17f208154498,2024-08-06T14:17:54.652775,2024-08-06T14:20:23.114849,LONG,17434.0,17404.0,6,-4500.0,2,10,1
Clean_DB (processed_trades),TM_10,FDAXU24,Td6d94e1b217f,2024-08-06T14:26:10.734249,2024-08-06T14:28:46.242429,SHORT,17419.0,17449.0,6,-4500.0,2,10,1
Clean_DB (processed_trades),TM_9,FDAXU24,T2c59a9190c7b,2024-07-18T18:47:05.415434,2024-07-19T09:53:12.459955,LONG,18445.0,18320.0,6,-18750.0,906,14,3
Clean_DB (processed_trades),TM_9,FDAXU24,T61ca541b7834,2024-07-31T00:30:01.872435,2024-07-31T15:06:30.522944,SHORT,18554.0,18597.0,6,-6450.0,876,20,1
Clean_DB (processed_trades),TM_9,FDAXU24,Tfda9f4674093,2024-07-31T18:50:56.012719,2024-07-31T18:56:26.060840,SHORT,18633.0,18654.0,4,-2100.0,5,14,2
Clean_DB (processed_trades),TM_9,FDAXU24,T8ecf3a4ecfde,2024-08-02T15:24:30.493101,2024-08-02T15:26:00.998494,SHORT,17713.0,17745.0,6,-4800.0,1,11,4
Clean_DB (processed_trades),TM_9,FDAXU24,T96622b728f2b,2024-08-02T17:36:36.317601,2024-08-02T17:51:56.734804,SHORT,17776.0,17769.0,4,700.0,15,13,4
Clean_DB (processed_trades),TM_9,FDAXU24,T31d6f52f11de,2024-08-05T14:40:21.922207,2024-08-05T14:42:41.593433,LONG,17358.0,17334.0,6,-3600.0,2,10,0
Clean_DB (processed_trades),TM_9,FDAXU24,T91d67eeb8267,2024-08-05T15:01:12.541087,2024-08-05T15:02:57.799935,LONG,17390.0,17360.0,6,-4500.0,1,11,0
Clean_DB (processed_trades),TM_9,FDAXU24,Td612746159d5,2024-08-05T18:12:14.439067,2024-08-05T18:59:08.602314,LONG,17445.0,17421.0,6,-3600.0,46,14,0
Clean_DB (processed_trades),TM_9,FDAXU24,Tb723591a7584,2024-08-09T19:22:51.993981,2024-08-09T20:09:50.974017,LONG,17827.0,17831.0,6,600.0,46,15,4
Clean_DB (processed_trades),TM_10,FDAXU25,Taa3656ff178d,2025-08-14T08:12:39.485928,2025-08-14T08:12:41.182909,LONG,24341.0,24337.0,6,-600.0,0,4,3
Clean_DB (processed_trades),TM_10,FDAXZ25,T95189f731351,2025-10-17T14:20:59.928726,2025-10-17T14:21:01.513881,LONG,24060.0,24055.0,6,-750.0,0,10,4
Clean_DB (processed_trades),TM_10,NQH25,Tb45e6b4f717d,2024-12-31T18:50:05.033281,2024-12-31T18:50:07.442315,LONG,21255.0,21261.25,6,750.0,0,13,1
Clean_DB (processed_trades),TM_10,NQH25,T9c8403e35c2a,2024-12-31T19:33:25.921977,2024-12-31T19:33:26.406110,SHORT,21195.75,21196.0,6,-30.0,0,14,1
Clean_DB (processed_trades),TM_10,NQH25,T33b18923ef1c,2024-12-31T20:16:17.224337,2024-12-31T20:16:19.581467,LONG,21225.25,21224.5,6,-90.0,0,15,1
Clean_DB (processed_trades),TM_10,NQH25,T64291d2d0893,2024-12-31T20:39:44.055077,2024-12-31T20:39:44.684200,SHORT,21272.25,21273.25,6,-120.0,0,15,1
Clean_DB (processed_trades),TM_10,NQH25,T04c54aa43ee1,2024-12-31T20:53:12.231699,2024-12-31T20:53:14.599720,LONG,21240.25,21240.25,6,0.0,0,15,1
Clean_DB (processed_trades),A_SIM14,NQM24,Te88f9b0f9ed5,2024-03-18T13:30:11.000001,2024-03-18T13:30:20,SHORT,18279.0,18285.0,4,-480.0,0,9,0
Clean_DB (processed_trades),A_SIM15,NQM24,T7b6041c3bef8,2024-03-18T13:30:11,2024-03-18T13:30:11.000002,SHORT,18280.0,18278.5,4,120.0,0,9,0
Clean_DB (processed_trades),DEPTH,NQM24,T6ae0bc1797e2,2024-05-16T08:15:00.000001,2024-05-16T08:15:07,SHORT,18712.5,18714.0,5,-150.0,0,4,3
Clean_DB (processed_trades),DEPTH,NQM24,T3bcedad8393c,2024-05-23T01:40:24,2024-05-23T01:42:06,SHORT,18890.5,18893.0,5,-250.0,1,21,2
Clean_DB (processed_trades),ES-TM_9,NQM24,Te0e2837c0c89,2024-05-31T20:20:19.870436,2024-05-31T20:20:20.481923,LONG,18585.0,18584.0,6,-120.0,0,16,4
Clean_DB (processed_trades),ES-TM_9,NQM24,T2f0c1fbf55d9,2024-05-31T20:25:20.913114,2024-05-31T20:25:21.466342,SHORT,18582.0,18582.75,6,-90.0,0,16,4
Clean_DB (processed_trades),ES-TM_9,NQM24,T422ea2c3025c,2024-05-31T20:47:53.017859,2024-05-31T20:47:53.513144,SHORT,18574.25,18574.75,6,-60.0,0,16,4
Clean_DB (processed_trades),ES-TM_9,NQM24,T6097a65544e3,2024-06-04T19:09:40.191434,2024-06-04T19:09:40.657312,SHORT,18657.5,18657.75,6,-30.0,0,15,1
Clean_DB (processed_trades),ES-TM_9,NQM24,Tb6f7428d5453,2024-06-14T13:52:13.562535,2024-06-14T13:57:11.617781,LONG,19631.0,19621.5,6,-1140.0,4,9,4
Clean_DB (processed_trades),ES-TM_9,NQM24,T5928a5b186b1,2024-06-16T22:00:01.530806,2024-06-17T05:57:19.591347,LONG,19703.25,19696.75,6,-780.0,477,18,6
Clean_DB (processed_trades),IMPORT,NQM24,Tbed965cd7e5d,2024-05-15T13:30:00,2024-05-15T13:30:00.000001,LONG,18513.75,18516.0,6,270.0,0,9,2
Clean_DB (processed_trades),IMPORT,NQM24,T92192387db4d,2024-05-15T13:51:45,2024-05-15T13:51:46,LONG,18467.0,18466.5,6,-60.0,0,9,2
Clean_DB (processed_trades),IMPORT,NQM24,T469960eaaad7,2024-05-15T16:10:37,2024-05-15T16:10:37.000001,LONG,18602.0,18601.5,6,-60.0,0,12,2
Clean_DB (processed_trades),IMPORT,NQM24,T938ccc75ec37,2024-05-16T07:20:30,2024-05-16T07:20:30.000001,LONG,18731.0,18730.5,6,-60.0,0,3,3
Clean_DB (processed_trades),IMPORT,NQM24,T86d9f7f2a52b,2024-05-16T13:49:59,2024-05-16T13:49:59.000001,SHORT,18703.75,18704.75,6,-120.0,0,9,3
Clean_DB (processed_trades),IMPORT,NQM24,T4beac13ad062,2024-05-17T07:06:25,2024-05-17T07:06:26,SHORT,18653.0,18653.75,6,-90.0,0,3,4
Clean_DB (processed_trades),IMPORT,NQM24,Ta5d64de310bd,2024-05-17T15:09:20,2024-05-17T15:09:20.000001,LONG,18654.0,18654.0,6,0.0,0,11,4
Clean_DB (processed_trades),IMPORT,NQM24,Tec03d7258a5d,2024-05-17T16:43:06,2024-05-17T16:43:07,LONG,18626.5,18625.5,6,-120.0,0,12,4
Clean_DB (processed_trades),IMPORT,NQM24,Tb75696b1da0c,2024-05-20T14:57:34,2024-05-20T14:57:35,SHORT,18746.0,18746.5,6,-60.0,0,10,0
Clean_DB (processed_trades),IMPORT,NQM24,Tec3ebf46b665,2024-05-20T15:16:34,2024-05-20T15:16:35,LONG,18732.0,18731.25,6,-90.0,0,11,0
Clean_DB (processed_trades),IMPORT,NQM24,T64c6883c9f67,2024-05-22T10:29:16,2024-05-22T10:29:16.000001,LONG,18767.5,18767.0,6,-60.0,0,6,2
Clean_DB (processed_trades),IMPORT,NQM24,Tc814abd23ee7,2024-05-22T15:05:09,2024-05-22T15:05:09.000001,SHORT,18833.25,18833.25,6,0.0,0,11,2
Clean_DB (processed_trades),IMPORT,NQM24,Te38ae626805e,2024-05-22T23:22:55,2024-05-22T23:22:55.000001,LONG,18868.75,18868.25,6,-60.0,0,19,2
Clean_DB (processed_trades),IMPORT,NQM24,Td441c5894552,2024-05-23T06:27:52,2024-05-23T06:27:53,LONG,18937.5,18937.0,6,-60.0,0,2,3
Clean_DB (processed_trades),IMPORT,NQM24,T76f5e33129a9,2024-05-23T09:31:37,2024-05-23T09:31:37.000001,LONG,18950.75,18950.25,6,-60.0,0,5,3
Clean_DB (processed_trades),IMPORT,NQM24,T02aa14f822e7,2024-05-23T15:31:02,2024-05-23T15:31:03,SHORT,18902.0,18900.5,6,180.0,0,11,3
Clean_DB (processed_trades),TM_10,NQM24,T32b2194dbe9f,2024-03-20T18:01:53.549819,2024-03-21T16:03:05.832542,LONG,18347.0,18687.75,6,40890.0,1321,14,2
Clean_DB (processed_trades),TM_10,NQM24,T6f81335d0380,2024-03-22T18:47:05.259430,2024-03-22T19:05:37.258478,SHORT,18593.75,18591.25,6,300.0,18,14,4
Clean_DB (processed_trades),TM_10,NQM24,Te6220f40e7f5,2024-04-04T17:02:22.658161,2024-04-05T12:49:20.177754,LONG,18546.25,18150.5,6,-47490.0,1186,13,3
Clean_DB (processed_trades),TM_10,NQM24,Tfe227b08e3fd,2024-04-04T19:14:33.538789,2024-04-04T19:16:05.036331,SHORT,18190.25,18174.75,6,1860.0,1,15,3
Clean_DB (processed_trades),TM_10,NQM24,T673fd3ad0498,2024-04-04T19:33:06.536185,2024-04-04T19:45:25.091309,SHORT,18133.75,18105.25,6,3420.0,12,15,3
Clean_DB (processed_trades),TM_10,NQM24,Tb5fe37457fd0,2024-04-08T10:29:36.983505,2024-04-08T10:29:37.558224,SHORT,18299.5,18300.0,6,-60.0,0,6,0
Clean_DB (processed_trades),TM_10,NQM24,Tf3f2961820a4,2024-04-09T17:03:38.921855,2024-04-10T13:15:07.160283,SHORT,18273.25,18087.75,6,22260.0,1211,13,1
Clean_DB (processed_trades),TM_10,NQM24,T6a417abc67eb,2024-04-09T18:01:25.604540,2024-04-10T13:29:04.811625,LONG,18252.25,18133.0,6,-14310.0,1167,14,1
Clean_DB (processed_trades),TM_10,NQM24,T480991b731f8,2024-04-15T14:40:53.366730,2024-04-15T14:42:47.842866,SHORT,18221.5,18214.75,6,810.0,1,10,0
Clean_DB (processed_trades),TM_10,NQM24,T11119eb6945b,2024-04-15T14:48:34.965475,2024-04-15T15:36:18.164976,SHORT,18201.75,18201.75,6,0.0,47,10,0
Clean_DB (processed_trades),TM_10,NQM24,T6559fa678b8b,2024-04-18T19:16:58.392664,2024-04-19T06:17:52.912195,SHORT,17556.25,17412.0,6,17310.0,660,15,3
Clean_DB (processed_trades),TM_10,NQM24,T158cec12fe40,2024-04-19T13:30:22.096151,2024-04-19T13:36:38.437593,SHORT,17476.0,17457.0,6,2280.0,6,9,4
Clean_DB (processed_trades),TM_10,NQM24,Td93f2515dcbf,2024-04-19T13:52:21.454386,2024-04-19T14:10:53.587707,SHORT,17436.5,17430.0,4,520.0,18,9,4
Clean_DB (processed_trades),TM_10,NQM24,T1ea3cc29a1f8,2024-04-19T14:10:53.995780,2024-04-19T14:19:34.280506,SHORT,17427.75,17399.5,6,3390.0,8,10,4
Clean_DB (processed_trades),TM_10,NQM24,Te60cb943d2eb,2024-04-19T14:16:03.161174,2024-04-19T14:21:26.361401,SHORT,17409.5,17388.5,6,2520.0,5,10,4
Clean_DB (processed_trades),TM_10,NQM24,T672016362e01,2024-04-19T14:19:33.731292,2024-04-19T14:27:13.545388,SHORT,17399.75,17365.25,6,4140.0,7,10,4
Clean_DB (processed_trades),TM_10,NQM24,T4898506a034c,2024-04-19T14:43:03.742299,2024-04-19T14:50:29.489085,SHORT,17374.75,17414.0,6,-4710.0,7,10,4
Clean_DB (processed_trades),TM_10,NQM24,Tcc342116f08b,2024-04-19T14:50:28.976797,2024-04-19T15:00:21.841763,SHORT,17413.75,17381.0,6,3930.0,9,10,4
Clean_DB (processed_trades),TM_10,NQM24,Tbef54258f4c9,2024-04-19T15:06:50.158288,2024-04-19T15:29:57.625199,SHORT,17364.5,17333.5,6,3720.0,23,11,4
Clean_DB (processed_trades),TM_10,NQM24,T6f31e24fa058,2024-04-19T15:29:08.594420,2024-04-19T15:34:25.667132,SHORT,17324.75,17331.75,6,-840.0,5,11,4
Clean_DB (processed_trades),TM_10,NQM24,T0961d1e2076b,2024-04-19T15:34:26.141475,2024-04-19T16:15:31.359780,SHORT,17329.25,17233.25,6,11520.0,41,11,4
Clean_DB (processed_trades),TM_10,NQM24,Tf996974f48ca,2024-04-19T16:48:33.472133,2024-04-19T16:48:33.963742,LONG,17246.0,17245.5,6,-60.0,0,12,4
Clean_DB (processed_trades),TM_10,NQM24,Ta5d52ecb0ab6,2024-04-19T17:01:58.379916,2024-04-19T17:01:58.818237,SHORT,17279.75,17280.25,6,-60.0,0,13,4
Clean_DB (processed_trades),TM_10,NQM24,T229bf6d9da3d,2024-04-19T17:08:05.104800,2024-04-19T17:08:05.581329,LONG,17289.5,17289.5,6,0.0,0,13,4
Clean_DB (processed_trades),TM_10,NQM24,Ta9bce787dc5b,2024-04-19T17:08:06.601467,2024-04-19T17:08:07.091914,LONG,17289.5,17289.5,6,0.0,0,13,4
Clean_DB (processed_trades),TM_10,NQM24,Tb12823d657e3,2024-04-19T17:16:48.007246,2024-04-19T17:16:48.506244,LONG,17279.75,17279.25,6,-60.0,0,13,4
Clean_DB (processed_trades),TM_10,NQM24,T6fffc1b1d01a,2024-04-19T17:18:29.147795,2024-04-19T17:18:29.556276,SHORT,17307.0,17308.0,6,-120.0,0,13,4
Clean_DB (processed_trades),TM_10,NQM24,T7358db1ab3a5,2024-04-19T17:18:30.562581,2024-04-19T17:18:31.048384,SHORT,17307.0,17308.0,6,-120.0,0,13,4
Clean_DB (processed_trades),TM_10,NQM24,Tacb6d4877f2e,2024-04-19T17:28:59.683952,2024-04-19T17:29:00.220337,LONG,17270.0,17270.25,6,30.0,0,13,4
