==============================================================================================================
 SIERRA CHART TRADE OPTIMIZATION PLATFORM — PROBLEMATIC TRADE SEQUENCES AUDIT
 Criteria: Trades with Quantity > 3 Contracts (Exceeding [-3, +3] Position Limit)
==============================================================================================================

PART 1: CURRENT CLEAN PRODUCTION DATABASE (processed_trades)
Total Problematic Trades Found: 238
--------------------------------------------------------------------------------------------------------------
#    | Account            | Symbol     | Entry Time (NY)     | Side  | Entry     | Exit      | Qty  | PnL ($)   
--------------------------------------------------------------------------------------------------------------
1    | TM_10              | CLJ25      | 2025-03-09T22:06:10 | SHORT | 66.90     | 66.90     | 6    | $0.00     
2    | TM_9               | CLJ25      | 2025-03-09T22:06:10 | SHORT | 66.90     | 66.90     | 6    | $0.00     
3    | TM_10              | CLN24      | 2024-05-28T16:50:05 | SHORT | 79.86     | 79.88     | 6    | $-120.00  
4    | TM_10              | CLN24      | 2024-05-29T14:03:38 | LONG  | 79.86     | 79.87     | 6    | $60.00    
5    | TM_10              | CLN24      | 2024-05-29T15:24:00 | LONG  | 79.50     | 79.48     | 6    | $-120.00  
6    | TM_10              | CLN24      | 2024-05-29T20:38:44 | LONG  | 79.40     | 79.38     | 6    | $-120.00  
7    | TM_10              | CLN24      | 2024-05-31T16:05:08 | LONG  | 77.19     | 77.18     | 6    | $-60.00   
8    | TM_10              | CLN24      | 2024-06-03T16:10:36 | LONG  | 74.50     | 74.49     | 6    | $-60.00   
9    | TM_10              | CLN24      | 2024-06-04T07:08:32 | LONG  | 73.15     | 73.14     | 6    | $-60.00   
10   | TM_10              | CLN24      | 2024-06-04T14:14:26 | LONG  | 73.10     | 73.10     | 6    | $0.00     
11   | TM_9               | CLN24      | 2024-06-03T16:10:36 | LONG  | 74.50     | 74.49     | 6    | $-60.00   
12   | TM_9               | CLN24      | 2024-06-04T14:35:45 | SHORT | 72.94     | 72.96     | 6    | $-120.00  
13   | TM_10              | CLN25      | 2025-06-13T02:27:46 | LONG  | 74.91     | 74.88     | 6    | $-180.00  
14   | ES-TM_10           | ESH25      | 2025-03-04T21:19:22 | SHORT | 5816.50   | 5816.25   | 6    | $75.00    
15   | ES-TM_10           | ESM24      | 2024-05-31T20:56:13 | SHORT | 5299.25   | 5299.50   | 6    | $-75.00   
16   | ES-TM_10           | ESM24      | 2024-06-05T15:01:21 | LONG  | 5331.75   | 5331.75   | 5    | $0.00     
17   | ES-TM_10           | ESM24      | 2024-06-14T16:19:12 | LONG  | 5422.75   | 5426.75   | 6    | $1,200.00 
18   | ES-TM_10           | ESM25      | 2025-04-06T22:02:33 | LONG  | 4886.50   | 4912.25   | 6    | $7,725.00 
