"FULL SIGNAL-TO-FILL SYNC REPORT | TM_7 NQ | Jun 10 - Jul 23, 2026"
Date,Bar_Signals,NQ_Clean_Fills,Ghost_Fills_Dropped,Signals_Matched_to_Fill,Unmatched_Signals,Match_Rate_%
2026-06-10,48,0,0,0,48,0.0%
2026-06-11,299,0,0,0,299,0.0%
2026-06-12,180,0,0,0,180,0.0%
2026-06-14,2,0,0,0,2,0.0%
2026-06-15,119,0,0,0,119,0.0%
2026-06-16,232,0,0,0,232,0.0%
2026-06-17,243,0,0,0,243,0.0%
2026-06-18,235,0,0,0,235,0.0%
2026-06-19,17,0,0,0,17,0.0%
2026-06-21,14,0,0,0,14,0.0%
2026-06-22,237,0,0,0,237,0.0%
2026-06-23,221,67,1,23,198,10.4%
2026-06-24,30,113,0,7,23,23.3%
2026-06-25,19,112,3,4,15,21.1%
2026-06-26,102,103,2,54,48,52.9%
2026-06-28,6,4,0,1,5,16.7%
2026-06-29,86,81,2,28,58,32.6%
2026-06-30,93,21,0,4,89,4.3%
2026-07-01,95,74,1,20,75,21.1%
2026-07-02,103,107,1,41,62,39.8%
2026-07-03,11,10,0,0,11,0.0%
2026-07-05,3,4,3,1,2,33.3%
2026-07-06,83,93,0,24,59,28.9%
2026-07-07,116,89,1,30,86,25.9%
2026-07-08,88,93,3,25,63,28.4%
2026-07-09,95,47,3,18,77,18.9%
2026-07-10,64,67,1,21,43,32.8%
2026-07-12,5,5,0,0,5,0.0%
2026-07-13,85,92,3,33,52,38.8%
2026-07-14,81,61,3,24,57,29.6%
2026-07-15,100,80,4,27,73,27.0%
2026-07-16,85,78,0,38,47,44.7%
2026-07-17,108,75,2,42,66,38.9%
2026-07-19,5,0,0,0,5,0.0%
2026-07-20,86,0,0,0,86,0.0%
2026-07-21,70,0,0,0,70,0.0%
2026-07-22,80,0,0,0,80,0.0%
2026-07-23,62,0,0,0,62,0.0%

TOTAL,3608,1476,33,465,3143,12.9%
