SECTION A: BAR SIGNAL LIST (from GraphData export - RAW)
Date,Bar_Time,Direction,Entry_Price,Target1,Stop_Loss,Auto_Executed
2026-06-10,16:17:37,BUY,28810.25,0.25,28810.0,YES
2026-06-10,16:22:43,SELL,28776.75,28776.5,28817.5,YES
2026-06-10,16:29:47,SELL,28773.75,28773.5,28812.25,YES
2026-06-10,16:44:33,SELL,28747.5,28747.25,28792.25,YES
2026-06-10,16:48:57,SELL,28707.25,28707.0,28759.5,YES
2026-06-10,16:58:45,SELL,28726.25,28726.0,28779.5,YES
2026-06-10,18:00:57,SELL,28696.75,28696.5,28767.75,YES
2026-06-10,18:05:00,SELL,28668.75,28668.5,28736.25,YES
2026-06-10,18:10:30,SELL,28655.75,28655.5,28686.25,YES
2026-06-10,18:44:22,SELL,28723.5,28723.25,28762.75,YES
2026-06-10,18:48:13,SELL,28682.75,28682.5,28742.75,YES
2026-06-10,18:54:54,SELL,28663.5,28663.25,28748.75,YES
2026-06-10,18:59:19,SELL,28621.0,28620.75,28679.75,YES
2026-06-10,19:10:49,SELL,28620.75,28620.5,28669.75,YES
2026-06-10,19:14:39,SELL,28572.75,28572.5,28627.25,YES
2026-06-10,19:19:54,BUY,28655.75,0.25,28655.5,YES
2026-06-10,19:20:30,SELL,28631.5,28631.25,28691.0,YES
2026-06-10,19:30:53,SELL,28660.75,28660.5,28698.75,YES
2026-06-10,19:45:16,SELL,28683.5,28683.25,28739.75,YES
2026-06-10,19:53:17,SELL,28656.25,28656.0,28718.25,YES
2026-06-10,20:00:10,SELL,28645.0,28644.75,28690.25,YES
2026-06-10,20:04:40,SELL,28640.75,28640.5,28709.0,YES
2026-06-10,20:15:55,BUY,28747.75,0.25,28747.5,YES
2026-06-10,20:18:02,SELL,28797.25,28797.0,28864.75,YES
2026-06-10,20:20:50,SELL,28793.75,28793.5,28861.5,YES
2026-06-10,20:24:25,SELL,28783.0,28782.75,28839.25,YES
2026-06-10,20:33:52,SELL,28760.75,28760.5,28802.25,YES
2026-06-10,20:41:47,SELL,28738.5,28738.25,28776.25,YES
2026-06-10,21:03:03,BUY,28893.75,0.25,28893.5,YES
2026-06-10,21:04:38,BUY,28922.0,0.25,28921.75,YES
2026-06-10,21:06:04,BUY,28936.25,0.25,28936.0,YES
2026-06-10,21:11:10,BUY,28960.75,0.25,28960.5,YES
2026-06-10,21:12:10,BUY,28987.75,0.25,28987.5,YES
2026-06-10,21:16:12,SELL,28984.75,28984.5,29021.25,YES
2026-06-10,21:19:54,SELL,28981.25,28981.0,29021.25,YES
2026-06-10,21:31:14,SELL,29019.5,29019.25,29058.0,YES
2026-06-10,21:37:01,SELL,28992.75,28992.5,29029.0,YES
2026-06-10,21:40:00,SELL,28989.25,28989.0,29049.25,YES
2026-06-10,21:46:22,SELL,28979.25,28979.0,29037.0,YES
2026-06-10,21:53:37,SELL,28959.5,28959.25,29009.0,YES
2026-06-10,21:57:30,SELL,28930.25,28930.0,28983.75,YES
2026-06-10,22:10:00,SELL,28941.75,28941.5,28989.5,YES
2026-06-10,22:17:18,SELL,28909.0,28908.75,28954.5,YES
2026-06-10,22:23:17,SELL,28872.5,28872.25,28939.0,YES
2026-06-10,22:27:58,SELL,28851.25,28851.0,28883.75,YES
2026-06-10,22:34:06,SELL,28839.25,28839.0,28875.0,YES
2026-06-10,23:07:15,SELL,28915.25,28915.0,28970.5,YES
2026-06-10,23:17:38,SELL,28881.25,28881.0,28938.0,YES
2026-06-11,00:03:45,SELL,29004.25,29004.0,29038.75,YES
2026-06-11,00:51:12,SELL,29064.0,29063.75,29096.0,YES
2026-06-11,01:00:33,SELL,29052.75,29052.5,29077.25,YES
2026-06-11,01:04:08,SELL,29020.5,29020.25,29059.75,YES
2026-06-11,01:16:16,SELL,29007.75,29007.5,29039.75,YES
2026-06-11,01:29:41,SELL,29006.5,29006.25,29043.0,YES
2026-06-11,01:49:13,SELL,29022.5,29022.25,29044.0,YES
2026-06-11,01:59:03,SELL,29019.25,29019.0,29049.0,YES
2026-06-11,02:04:54,SELL,29013.0,29012.75,29043.5,YES
2026-06-11,02:31:08,SELL,29035.75,29035.5,29066.0,YES
2026-06-11,03:04:22,SELL,29079.5,29079.25,29112.5,YES
2026-06-11,03:12:55,SELL,29061.25,29061.0,29102.5,YES
2026-06-11,03:25:05,SELL,29134.25,29134.0,29161.5,YES
2026-06-11,03:39:07,SELL,29133.0,29132.75,29160.0,YES
2026-06-11,03:50:13,SELL,29127.5,29127.25,29158.5,YES
2026-06-11,04:13:06,SELL,29194.0,29193.75,29217.75,YES
2026-06-11,04:39:49,SELL,29202.5,29202.25,29229.0,YES
2026-06-11,04:50:31,SELL,29187.75,29187.5,29218.0,YES
2026-06-11,05:04:07,SELL,29182.0,29181.75,29215.0,YES
2026-06-11,05:10:55,SELL,29172.25,29172.0,29210.75,YES
2026-06-11,05:17:33,SELL,29162.75,29162.5,29182.75,YES
2026-06-11,05:27:20,SELL,29152.5,29152.25,29183.75,YES
2026-06-11,05:50:04,SELL,29168.75,29168.5,29200.5,YES
2026-06-11,06:15:50,SELL,29173.5,29173.25,29210.0,YES
2026-06-11,06:58:02,SELL,29174.5,29174.25,29198.0,YES
2026-06-11,07:02:02,SELL,29142.5,29142.25,29181.0,YES
2026-06-11,07:06:37,SELL,29127.5,29127.25,29157.5,YES
2026-06-11,07:20:45,SELL,29123.5,29123.25,29141.0,YES
2026-06-11,07:37:00,SELL,29160.25,29160.0,29193.0,YES
2026-06-11,08:02:05,SELL,29184.25,29184.0,29206.0,YES
2026-06-11,08:08:59,SELL,29180.5,29180.25,29208.0,YES
2026-06-11,08:18:53,SELL,29167.75,29167.5,29202.25,YES
2026-06-11,08:22:09,SELL,29122.75,29122.5,29178.0,YES
2026-06-11,08:22:14,SELL,29072.75,29072.5,29140.0,YES
2026-06-11,08:22:32,SELL,29047.5,29047.25,29098.75,YES
2026-06-11,08:23:01,SELL,29031.75,29031.5,29078.0,YES
2026-06-11,08:23:31,SELL,29013.5,29013.25,29063.75,YES
2026-06-11,08:25:09,SELL,29053.0,29052.75,29098.0,YES
2026-06-11,08:26:13,SELL,29042.75,29042.5,29100.75,YES
2026-06-11,08:27:36,SELL,29026.25,29026.0,29078.5,YES
2026-06-11,08:30:08,SELL,29017.75,29017.5,29089.5,YES
2026-06-11,08:31:53,SELL,29004.75,29004.5,29071.75,YES
2026-06-11,08:33:11,SELL,28985.25,28985.0,29048.5,YES
2026-06-11,08:33:47,SELL,28959.5,28959.25,28987.5,YES
2026-06-11,08:34:31,SELL,28942.75,28942.5,28976.5,YES
2026-06-11,08:41:36,SELL,29013.75,29013.5,29069.0,YES
2026-06-11,08:48:13,SELL,29067.5,29067.25,29096.5,YES
2026-06-11,09:00:08,SELL,29079.75,29079.5,29120.5,YES
2026-06-11,09:01:37,SELL,29067.75,29067.5,29105.0,YES
2026-06-11,09:05:15,SELL,29065.5,29065.25,29097.25,YES
2026-06-11,09:09:23,SELL,29058.75,29058.5,29087.0,YES
2026-06-11,09:22:27,SELL,29057.0,29056.75,29079.0,YES
2026-06-11,09:26:50,SELL,29055.0,29054.75,29089.25,YES
2026-06-11,09:29:16,SELL,29053.75,29053.5,29076.75,YES
2026-06-11,09:30:00,SELL,29045.75,29045.5,29052.0,YES
2026-06-11,09:34:23,SELL,28968.0,28967.75,29011.25,YES
2026-06-11,09:38:37,SELL,28996.0,28995.75,29048.5,YES
2026-06-11,09:39:02,SELL,28959.0,28958.75,29006.75,YES
2026-06-11,09:43:55,BUY,29041.75,0.25,29041.5,YES
2026-06-11,09:45:18,BUY,29083.25,0.25,29083.0,YES
2026-06-11,09:46:18,BUY,29132.25,0.25,29132.0,YES
2026-06-11,09:46:37,SELL,29153.5,29153.25,29181.75,YES
2026-06-11,09:49:46,SELL,29120.25,29120.0,29162.25,YES
2026-06-11,09:52:24,SELL,29234.5,29234.25,29259.75,YES
2026-06-11,09:54:30,SELL,29273.25,29273.0,29309.75,YES
2026-06-11,09:56:15,SELL,29270.5,29270.25,29302.75,YES
2026-06-11,09:57:00,SELL,29256.0,29255.75,29285.0,YES
2026-06-11,09:57:25,SELL,29233.75,29233.5,29258.75,YES
2026-06-11,09:57:55,SELL,29193.75,29193.5,29239.5,YES
2026-06-11,09:59:24,SELL,29209.0,29208.75,29237.25,YES
2026-06-11,10:02:01,SELL,29312.25,29312.0,29336.75,YES
2026-06-11,10:02:30,SELL,29297.25,29297.0,29327.75,YES
2026-06-11,10:03:16,SELL,29296.25,29296.0,29322.5,YES
2026-06-11,10:05:00,SELL,29305.0,29304.75,29342.5,YES
2026-06-11,10:05:37,SELL,29284.5,29284.25,29326.75,YES
2026-06-11,10:07:20,SELL,29284.0,29283.75,29313.0,YES
2026-06-11,10:09:14,SELL,29273.0,29272.75,29309.0,YES
2026-06-11,10:09:44,SELL,29243.75,29243.5,29279.5,YES
2026-06-11,10:10:31,SELL,29228.75,29228.5,29272.0,YES
2026-06-11,10:10:59,SELL,29183.25,29183.0,29245.5,YES
2026-06-11,10:12:21,SELL,29178.75,29178.5,29216.75,YES
2026-06-11,10:12:58,SELL,29155.5,29155.25,29211.5,YES
2026-06-11,10:13:43,SELL,29147.75,29147.5,29183.75,YES
