account_name,symbol,base_symbol,trade_count,first_trade,last_trade
3Q_sim10,CL,CL,642,2024-08-12T14:25:05.878571,2025-04-22T16:41:20.551722
3Q_sim13,CL,CL,12239,2024-08-12T01:44:41.523696,2026-07-17T19:54:59.004702
3Q_sim13,NQ,NQ,325,2024-01-22T00:09:26,2024-02-15T01:20:00.000001
3Q_sim14,CL,CL,45482,2024-08-12T13:54:09.577895,2026-07-17T19:49:08.099402
3Q_sim14,NQ,NQ,413,2024-01-22T00:11:26,2024-02-13T13:32:42
3Q_sim15,CL,CL,10230,2024-08-12T13:56:33.861536,2026-07-17T19:03:57.796339
3Q_sim15,NQ,NQ,360,2024-01-22T00:11:26,2024-02-06T01:20:22
3Q_sim16,CL,CL,2882,2024-08-13T13:21:35.757567,2026-07-15T19:12:53.170474
3Q_sim16,NQ,NQ,478,2024-01-22T00:11:26,2024-02-15T08:19:07
3Q_sim19,CL,CL,3325,2024-08-13T14:08:24.280249,2026-07-17T10:23:56.512006
3Q_sim19,NQ,NQ,460,2024-01-22T00:11:26,2024-02-15T08:19:07
3Q_sim7,CL,CL,2747,2024-08-11T22:00:00.928310,2026-07-17T10:23:56.433795
3Q_sim7,NQ,NQ,347,2024-01-22T00:09:26,2024-02-15T01:20:00.000001
3Q_sim8,NQ,NQ,543,2024-01-22T00:11:26,2024-02-15T08:19:07
3Q_sim9,NQ,NQ,40,2024-01-22T00:09:26,2024-02-15T01:10:52
A_sim10,NQ,NQ,385,2024-01-22T00:09:26,2024-05-20T16:44:39
A_sim13,NQ,NQ,283,2024-01-22T01:00:02,2024-02-15T01:10:51
A_sim14,NQ,NQ,12865,2024-01-22T00:11:26,2024-05-21T18:00:00
A_sim15,NQ,NQ,6549,2024-01-22T00:11:26,2024-05-20T18:47:50
A_sim16,NQ,NQ,679,2024-01-22T00:11:26,2024-05-23T14:11:32
A_sim19,NQ,NQ,485,2024-01-22T00:11:26,2024-05-23T15:00:17
A_sim7,NQ,NQ,588,2024-01-22T00:09:26,2024-05-20T18:07:40
A_sim8,NQ,NQ,226,2024-01-22T00:09:25,2024-02-15T01:13:53
A_sim9,NQ,NQ,38,2024-01-22T00:09:26,2024-02-15T01:10:52
B_sim14,NQ,NQ,6609,2024-01-22T14:43:05,2024-05-20T19:59:15
CL-TS_2,CL,CL,99,2024-05-24T07:52:52.838353,2024-05-24T20:15:30.600618
CL-TS_3,CL,CL,37,2024-05-24T10:34:53.800005,2024-05-24T20:15:30.416912
CL-TS_4,CL,CL,213,2024-05-24T08:03:44.612785,2024-05-24T20:49:41.039158
CL-TS_5,CL,CL,215,2024-05-24T08:03:44.261584,2024-05-24T20:49:40.975305
CL-TS_6,CL,CL,255,2024-05-24T08:03:44.612615,2024-05-24T20:49:41.039356
CL-TS_7,CL,CL,7,2024-05-24T08:28:54.542414,2024-05-24T20:59:06.721807
ES-IPSMUD1,ES,ES,575,2024-05-23T15:04:02.432347,2024-09-04T04:12:13.548578
ES-IPSPB1,ES,ES,371,2024-05-23T13:35:17.468195,2024-09-03T19:59:33.327674
ES-IPS_TM_10,ES,ES,2818,2024-05-23T13:29:55.919462,2024-07-31T10:05:52.986846
ES-IPS_TM_11,ES,ES,34997,2024-05-23T13:27:38.070138,2026-07-17T19:56:10.135449
ES-IPS_TM_12,ES,ES,9957,2024-05-23T13:27:41.542014,2026-07-17T19:48:40.933648
ES-IPS_TM_13,ES,ES,5199,2024-05-23T13:35:17.277562,2026-07-17T19:48:06.645835
ES-IPS_TM_3,ES,ES,8397,2024-05-24T11:26:26.524328,2026-07-17T19:50:18.373428
ES-IPS_TM_3,NQ,NQ,21,2024-05-23T14:07:39.903051,2024-05-23T14:07:57.340752
ES-IPS_TM_5,ES,ES,213035,2024-05-23T13:24:51.086163,2026-07-17T19:54:58.714278
ES-IPS_TM_5dupl,ES,ES,33233,2024-05-23T13:29:56.376755,2026-07-17T19:54:49.360405
ES-IPS_TM_6,ES,ES,9973,2024-05-24T08:12:37.181871,2026-07-17T19:54:59.004248
ES-IPS_TM_7,ES,ES,6416,2024-05-24T11:26:26.320464,2026-07-17T19:54:49.361461
ES-IPS_TM_8,ES,ES,66412,2024-05-23T13:27:38.050701,2026-07-17T19:52:55.253011
ES-PB_1,ES,ES,33581,2024-05-26T23:05:42.653096,2026-07-17T19:51:50.724984
ES-TM_1,ES,ES,20323,2024-05-24T12:48:38.944508,2026-07-17T18:50:17.557037
ES-TM_10,ES,ES,32898,2024-05-23T14:17:36.084384,2026-07-17T19:53:08.548592
ES-TM_2,ES,ES,32810,2024-05-23T14:17:35.767161,2026-07-17T19:53:08.549265
ES-TM_3,ES,ES,8280,2024-05-23T14:04:02.851560,2026-07-17T19:50:18.430651
ES-TM_5,ES,ES,460245,2024-05-23T23:20:53.338320,2026-07-17T16:51:51.515240
ES-TM_6,ES,ES,10028,2024-05-23T14:04:02.801037,2026-07-17T19:54:49.360800
ES-TM_7,ES,ES,50778,2024-05-23T14:01:43.772643,2026-07-17T19:54:49.361300
ES-TM_8,ES,ES,418892,2024-05-23T21:59:59.020624,2026-07-17T14:15:36.343641
ES-TM_9,ES,ES,8397,2024-07-01T06:00:13.850510,2026-07-17T19:54:49.360618
ES-TM_9,NQ,NQ,1370,2024-05-23T14:09:03.912398,2024-06-27T15:20:04.176564
ES-TS_2,ES,ES,20464,2024-05-23T13:23:22.102897,2026-07-17T19:59:49.412420
ES-TS_3,ES,ES,11916,2024-05-23T13:31:05.422880,2026-07-17T19:54:49.360998
ES-TS_4,ES,ES,39678,2024-05-23T12:56:47.037687,2026-07-06T20:00:15.744442
ES-TS_5,ES,ES,40268,2024-05-23T12:56:47.131905,2026-07-17T19:59:44.124034
ES-TS_6,ES,ES,42818,2024-05-23T13:09:57.593353,2026-07-07T14:08:34.692342
ES-TS_7,ES,ES,1800,2024-05-23T12:56:46.794623,2026-07-17T16:07:08.521760
ES_PB_2,ES,ES,46825,2024-05-26T22:46:24.983511,2026-07-17T19:51:50.724267
ES_PB_3,ES,ES,44419,2024-05-26T22:46:24.598711,2026-07-17T19:51:04.687353
IPSPB1,CL,CL,102,2024-05-28T13:31:49.796766,2024-06-10T18:28:15.211754
IPSPB1,FDAX,FDAX,3097,2024-05-31T08:43:11.715509,2026-06-18T15:53:47.673410
IPSPB1,NQ,NQ,806,2024-05-20T13:37:08.785620,2026-07-17T19:49:59.371565
IPSPB1,ZB,ZB,1,2024-06-05T02:31:41.079264,2024-06-05T04:24:09.895030
IPSPB1,ZN,ZN,2,2024-06-03T14:00:13.322469,2024-06-07T12:30:25.230388
IPSTMUD1,CL,CL,17,2024-05-29T16:45:26.873765,2024-06-06T16:15:01.505451
IPSTMUD1,FDAX,FDAX,6379,2024-05-31T08:43:11.409106,2026-07-17T19:36:22.711432
IPSTMUD1,NQ,NQ,667,2024-05-20T05:58:12.461692,2026-07-12T22:59:59.684814
IPSTMUD1,ZB,ZB,35,2024-05-28T14:42:46.562695,2024-06-10T18:02:35.686556
IPSTMUD1,ZN,ZN,18,2024-05-28T20:47:22.991428,2024-06-09T23:42:48.103137
IPS_TM_10,CL,CL,3346,2024-05-27T06:45:24.160267,2025-06-30T23:29:19.533868
IPS_TM_10,FDAX,FDAX,22018,2024-05-31T08:41:17.442175,2026-07-17T17:02:48.434078
IPS_TM_10,NQ,NQ,8092,2024-03-05T16:05:58.198806,2025-06-30T23:42:50.362128
IPS_TM_10,ZB,ZB,472,2024-05-26T21:59:58.858396,2024-06-30T23:54:40.814171
IPS_TM_10,ZN,ZN,303,2024-05-26T22:00:00.010404,2024-06-30T22:04:59.833784
IPS_TM_11,CL,CL,15485,2024-05-27T06:07:30.993079,2026-07-17T19:03:50.215133
IPS_TM_11,FDAX,FDAX,6895,2024-05-31T09:18:46.828067,2025-04-04T15:17:57.138985
IPS_TM_11,NQ,NQ,20172,2024-03-18T11:12:10.127662,2026-07-17T19:52:07.760026
IPS_TM_11,ZB,ZB,156,2024-05-27T00:27:29.545521,2024-06-30T23:03:29.554885
IPS_TM_11,ZN,ZN,99,2024-05-27T00:23:38.451014,2024-06-10T17:02:22.515658
IPS_TM_12,CL,CL,823,2024-05-27T08:08:27.723476,2026-07-17T19:51:08.036822
IPS_TM_12,FDAX,FDAX,3927,2024-05-31T15:49:47.416446,2026-06-18T14:20:08.673936
IPS_TM_12,NQ,NQ,3353,2024-03-20T10:15:20.776032,2026-07-17T19:30:17.648275
IPS_TM_13,CL,CL,974,2024-05-27T09:07:33.664353,2026-07-17T19:30:04.956038
IPS_TM_13,FDAX,FDAX,3099,2024-05-31T08:43:11.943808,2026-06-18T15:53:47.577666
IPS_TM_13,NQ,NQ,1349,2024-03-20T14:50:59.009853,2026-07-17T19:49:59.371706
IPS_TM_13,ZB,ZB,1,2024-06-05T02:31:40.953862,2024-06-05T04:24:09.895229
IPS_TM_13,ZN,ZN,2,2024-06-03T14:00:13.322410,2024-06-07T12:30:25.229902
IPS_TM_2,NQ,NQ,60,2024-02-15T14:32:08,2024-02-15T19:53:31
IPS_TM_3,CL,CL,829,2024-05-27T07:01:01.389181,2026-07-12T22:01:28.205003
IPS_TM_3,FDAX,FDAX,9125,2024-05-31T08:35:58.250650,2026-07-17T15:44:29.355374
IPS_TM_3,NQ,NQ,4583,2024-03-03T23:23:03.718078,2026-07-12T22:55:55.827876
IPS_TM_3,ZB,ZB,116,2024-05-27T06:31:52.872082,2024-06-10T17:02:01.041873
IPS_TM_3,ZN,ZN,93,2024-05-27T01:37:42.617734,2024-06-30T23:01:36.171861
IPS_TM_4,NQ,NQ,3,2024-03-05T15:28:06.478145,2024-03-05T15:33:39.150807
IPS_TM_5,CL,CL,2074,2024-05-27T03:30:06.726574,2025-04-08T18:33:51.798295
IPS_TM_5,FDAX,FDAX,17759,2024-06-14T11:33:34.268943,2025-04-04T15:15:19.806721
IPS_TM_5,NQ,NQ,11526,2024-03-03T23:07:45.405570,2025-03-30T23:58:51.310958
IPS_TM_5,ZB,ZB,207,2024-05-27T01:45:16.029098,2024-06-12T20:59:03.316580
IPS_TM_5,ZN,ZN,137,2024-05-27T00:23:38.495177,2024-06-12T20:59:06.815940
IPS_TM_5dupli,CL,CL,3095,2024-05-27T06:45:23.993224,2025-06-30T23:29:19.656562
IPS_TM_5dupli,FDAX,FDAX,21766,2024-05-31T08:41:17.443054,2026-07-17T17:02:48.512099
IPS_TM_5dupli,NQ,NQ,7625,2024-03-03T23:01:04.324754,2025-06-30T23:42:50.362344
IPS_TM_5dupli,ZB,ZB,388,2024-05-26T23:07:23.513037,2024-06-30T23:54:40.814249
IPS_TM_5dupli,ZN,ZN,245,2024-05-26T22:00:00.010533,2024-06-30T22:34:44.946422
IPS_TM_6,CL,CL,944,2024-05-27T07:01:01.388048,2026-07-12T22:00:03.596621
