account,base_symbol,date,db_trades,matched,no_log,unmatched
3Q_sim10,CL,2024-08-12,7,7,0,0
3Q_sim10,CL,2024-08-13,1,1,0,0
3Q_sim10,CL,2024-08-14,6,6,0,0
3Q_sim10,CL,2024-08-15,2,2,0,0
3Q_sim10,CL,2024-08-22,2,2,0,0
3Q_sim10,CL,2024-08-23,8,8,0,0
3Q_sim10,CL,2024-08-26,6,6,0,0
3Q_sim10,CL,2024-08-29,4,4,0,0
3Q_sim10,CL,2024-08-30,1,1,0,0
3Q_sim10,CL,2024-09-04,3,3,0,0
3Q_sim10,CL,2024-09-11,9,9,0,0
3Q_sim10,CL,2024-09-12,9,9,0,0
3Q_sim10,CL,2024-09-16,3,3,0,0
3Q_sim10,CL,2024-09-17,1,1,0,0
3Q_sim10,CL,2024-09-18,3,3,0,0
3Q_sim10,CL,2024-09-19,6,6,0,0
3Q_sim10,CL,2024-09-20,3,3,0,0
3Q_sim10,CL,2024-09-23,5,5,0,0
3Q_sim10,CL,2024-09-24,5,5,0,0
3Q_sim10,CL,2024-09-25,1,1,0,0
3Q_sim10,CL,2024-09-27,7,7,0,0
3Q_sim10,CL,2024-10-01,6,6,0,0
3Q_sim10,CL,2024-10-02,3,3,0,0
3Q_sim10,CL,2024-10-03,7,7,0,0
3Q_sim10,CL,2024-10-04,8,8,0,0
3Q_sim10,CL,2024-10-06,1,1,0,0
3Q_sim10,CL,2024-10-07,7,7,0,0
3Q_sim10,CL,2024-10-08,14,14,0,0
3Q_sim10,CL,2024-10-09,4,4,0,0
3Q_sim10,CL,2024-10-10,6,6,0,0
3Q_sim10,CL,2024-10-11,2,2,0,0
3Q_sim10,CL,2024-10-14,4,4,0,0
3Q_sim10,CL,2024-10-15,7,7,0,0
3Q_sim10,CL,2024-10-16,1,1,0,0
3Q_sim10,CL,2024-10-17,1,1,0,0
3Q_sim10,CL,2024-10-18,4,4,0,0
3Q_sim10,CL,2024-10-21,6,6,0,0
3Q_sim10,CL,2024-10-22,2,2,0,0
3Q_sim10,CL,2024-10-24,1,1,0,0
3Q_sim10,CL,2024-10-25,3,3,0,0
3Q_sim10,CL,2024-10-27,1,1,0,0
3Q_sim10,CL,2024-10-28,6,6,0,0
3Q_sim10,CL,2024-10-29,3,3,0,0
3Q_sim10,CL,2024-10-30,5,5,0,0
3Q_sim10,CL,2024-10-31,10,10,0,0
3Q_sim10,CL,2024-11-01,3,3,0,0
3Q_sim10,CL,2024-11-04,3,3,0,0
3Q_sim10,CL,2024-11-05,2,2,0,0
3Q_sim10,CL,2024-11-06,2,2,0,0
3Q_sim10,CL,2024-11-07,1,1,0,0
3Q_sim10,CL,2024-11-08,3,3,0,0
3Q_sim10,CL,2024-11-11,8,8,0,0
3Q_sim10,CL,2024-11-12,7,7,0,0
3Q_sim10,CL,2024-11-13,5,5,0,0
3Q_sim10,CL,2024-11-18,7,7,0,0
3Q_sim10,CL,2024-11-19,5,5,0,0
3Q_sim10,CL,2024-11-20,3,3,0,0
3Q_sim10,CL,2024-11-21,2,2,0,0
3Q_sim10,CL,2024-11-22,2,2,0,0
3Q_sim10,CL,2024-11-24,1,1,0,0
3Q_sim10,CL,2024-11-25,2,2,0,0
3Q_sim10,CL,2024-11-26,3,3,0,0
3Q_sim10,CL,2024-11-27,7,7,0,0
3Q_sim10,CL,2024-11-29,5,5,0,0
3Q_sim10,CL,2024-12-02,1,1,0,0
3Q_sim10,CL,2024-12-03,6,6,0,0
3Q_sim10,CL,2024-12-04,2,2,0,0
3Q_sim10,CL,2024-12-05,6,6,0,0
