account,symbol,total_log_trades,total_db_trades,matched_trades,match_pct_vs_db,common_log_trades,common_db_trades,common_matched,common_match_pct_vs_db,common_match_pct_vs_log,post_cutoff_log_trades
ES-IPS_TM_6,ES,11918,9973,8680,87.03,11346,9973,8680,87.03,76.5,572
ES-TM_6,ES,11917,10028,8796,87.71,11351,10028,8796,87.71,77.49,566
IPS_TM_6,CL,12646,944,789,83.58,12005,944,789,83.58,6.57,641
IPS_TM_6,FDAX,169,9855,142,1.44,169,9855,142,1.44,84.02,0
IPS_TM_6,NQ,33361,5087,3924,77.14,32031,5087,3924,77.14,12.25,1330
IPS_TM_6,ZB,465,161,150,93.17,465,161,150,93.17,32.26,0
IPS_TM_6,ZN,357,129,108,83.72,357,129,108,83.72,30.25,0
TM_6,CL,12396,934,831,88.97,11734,934,831,88.97,7.08,662
TM_6,FDAX,177,9829,156,1.59,177,9829,156,1.59,88.14,0
TM_6,NQ,31245,4641,3495,75.31,29794,4641,3495,75.31,11.73,1451
TM_6,ZB,456,156,143,91.67,456,156,143,91.67,31.36,0
TM_6,ZN,334,133,116,87.22,334,133,116,87.22,34.73,0
ZB-TM_6,CL,4,4,4,100.0,4,4,4,100.0,100.0,0
